Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH:
ISW: decent assessment of ISWs; the plan used a model and ICONS to identify ISWs; concluded that all main surface water is interconnected; data gaps were not identified in ISW section and where data was lacking, the plan did not include as pISW
GDE: Good inventory of flora and fauna, including endandgered/threatened species; the plan used NC dataset and described methods but gave very little details on data used; GDEs were removed based on proximity to surface water and irrigation; data gaps identified in separate chapter
CC: Incorporated precip, ET (including native/managed wetlands), and streamflow (but not imports) into projected budget using 2070 CT scenario. Projected SY based on future conditions used to project water budget.
SMC:  Vague, losing detail regarding the impacts on MO and DAC
PMA: Very detailed and well written
Other: No mention of OpenET, vague reference to potential metering, possible (unlikely) water market reference. Planned PMAs addressed demand reduction (increased efficiency) and supply augmentation (recharge project). RWQCB and CV-SALTS coordinated with.",,,,GSP ID,10,,,
,,,,,,,GSA Name,Sutter Subbasin Groundwater Management Coordination Committee,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - SUTTER,,,
,,,,,,,Consultant,Woodard & Curran,"Woodard and Curran in Association with GeoSyntech Consultant & David's Engineering, Inc.",,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,11300,,,
,,,,,,,DAC Population,89824,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,11026,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
