Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,GSP Information,Answer,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,"1-Short and poorly done ISW and GDE sections.
2-They do a good job in evaluation different WQ parameters however they set MT and MO in higher levels than MCL in some locations based on their historical records. (Sara)
3- This basin had the shortest Projects and management actions sections, just two proposed projects and two supplemental projects and not thorough.(Sara)
4. The GSP is more inclusive of DACs within their plan than most GSP reviewed until now, they could work on being more clear about impacts to DACs but most importantly releasing their Stakeholder Communication & Engagement Plan (referened as Appendix P) which they have not done so.  The plan has no Tribes or Tribal lands listed. 
5. The GSP only uses one climate change scenario (2070 central tendency) and assumes no change to surface water deliveries under climate change, but they appear to do a decent job of incorporating the estimates from the projected water budget with climate change into SMCs and PMAs (but they also don't have a sustainable yield with climate change)",,,GSP ID,13,,,
,,,,,,GSA Name,Tracy GSAs,,,
,,,,,,Subbasin Name,SAN JOAQUIN VALLEY - TRACY,,,
,,,,,,Consultant,GEI Consultants,,,
,,,,,,GSP version,Draft,,,
,,,,,,Acreage of GDEs per basin,13198,,,
,,,,,,DAC Population,7751,,,
,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,Coder Name,Becky,,,
,GSP Plan Element,,Topic,Level,Criteria,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
