Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: Moderate analysis but lack of detail in ISW section. Unclear map. Appendix E provides more details on the model used. There are a lot data gaps, including a lack of shallow groundwater data, but the plan concludes that uncertain areas are not important due to a lack of surface water. 
GDE: Like the ISW section, the plan itself includes few details but Appendix D provides a thorough overview of the GDEs with maps and tables of flora and fauna. Only spring of 2019 groundwater data was used to assess GDEs. Other methods were used including rooting depths and aerial imagery
CLIMATE CHANGE: Spreadsheet model using 2070CT incorporated ET, precip, surface flow (not imports), sea level rise. Projected SY based off projected WB.
SMC: The SMC section is a duplicate of filmore GSP, they have done a good job on evaluation GW level but haven't done any specific evaluation specificully on GW quality on SMC section.
PMA
OTHER: No reference to Open ET or water markets; basin does a good job requiring well meters already. PMAs were all very vague, and mostly simply proposals. 
Stakeholders: GSp seems to include DAcs and Environmnetal stakeholders in engagement plan but lacks details, only provides general stakeholder engagement plan. ",,,,GSP ID,16,,,
,,,,,,,GSA Name,Fillmore and Piru Basins GSA,,,
,,,,,,,Subbasin Name,SANTA CLARA RIVER VALLEY - PIRU,,,
,,,,,,,Consultant,"DANIEL B. STEPHENS & ASSOCIATES, INC.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,1109,,,
,,,,,,,DAC Population,2344,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
