Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"Overall, this GSP lacks detail and does not adequately address DACs, GDEs, and ISWs. There is no groundwater extraction from the shallow alluvial aquifer (50-100 feet thick - page 63) in the Mound Basin. As a result, the GSP does not go into depth on ISWs or GDEs becuase the assumption is that groundwater production in the basin will have no significant effects on surface water and GDEs. GDE and ISWs are not considered when defining undesirable results, minimum thresholds, or in the management and implementation plans. This is flawed logic because the shallow groundwater is likely connected to the surface water and provides baseflow for the Santa Clara River- making it a principle aquifer according to SGMA definitions. The GSP does not account for the possibility of future pumping from the shallow principle aquifer. Also, the GSP states that the shallow aquifer is vert poor-quality and feeds the baseflow of the Santa Clara River. If the water quality in the shallow aquifer is very poor, what does that mean for GDEs? Overall, the GSP seems to be lacking in many areas specifically with DACs and the Environment/GDEs. The GSA has an environmental representative on their board yet the plan severely lacks considerations for the environment and frequently uses the absence of data as a means to dismiss certain environmental processes such as interconnected surface water. There are very few considerations for DACs. They are represented by the city rather than actual DAC members.            
                
                
                
                
                
                
                
                ",,,,GSP ID,17,,,,
,,,,,,,GSA Name,Mound Basin GSA,,,,
,,,,,,,Subbasin Name,SANTA CLARA RIVER VALLEY - MOUND,,,,
,,,,,,,Consultant,,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,227,,,,
,,,,,,,DAC Population,13206,,,,
,,,,,,,Tribal population,0,,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Becky,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
