Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"ISW: Overall, decent assessment; map of ISWs but lack of visualization of gaining/losing reaches; conclusions of iSWs are consistent with assessment; shallow principal aquifers acknowledged; no map or description of pISWs of minor tributaries
GDE: good inventory of flora and fuana in GDEs; map of GDEs from NC dataset; more information needed about data used; unsure on methods of removing GDE polygons; pGDEs are somewhat mapped/described
Stakeholders: Overall the gsp is lacking outreach and engagement documentation forGSP implementation, although they do map Tribes there is no specific map of DACs even though they are named. ",,,,GSP ID,18,,,,
,,,,,,,GSA Name,Siskiyou County Flood Control and Water Conservation District GSA,,,,
,,,,,,,Subbasin Name,SHASTA VALLEY,,,,
,,,,,,,Consultant,,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,2305,,,,
,,,,,,,DAC Population,13696,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Coder Name,Martha,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Community Involvement
To ensure broad public awareness and involvement as the GSP is developed, the GSA has tasked Advisory Committee membes to act as liaisons to educate, inform and solicit input from the wider local community throughout the collaborative process. Key meetings and milestones during the process in which the general public is encouraged to attend and provide feedback on draft GSP content or other SGMA related issues include, but are not necessarily limited to  • Bi-monthly Advisory Committee meetings when draft GSP sections are introduced, discussed or evaluated by members • Advisory Committee engagement with constituents, with support as needed from GSA staff, during related meetings, events, and discussions by members, • Stakeholder meetings led by GSA staff with participation from Advisory Committee members, Technical Consulting Team members and/or Facilitation Support Services • Public comment periods when draft GSP sections are made available for review • Regularly scheduled District Board meetings • Special meetings that are scheduled, noticed in advance and open to the public At key intervals during GSP development, the GSA will hold public meetings in order to share information, respond to questions or concerns about SGMA, and solicit input from the wider community. Interested parties can also reach out to District staff at any time to share and discuss specific elements of the GSP or SGMA in general.

Human Right to Water: Inform and involve to provide safe and secure groundwater supplies to disadvantages communities Edgewood; Lake Shastina Community District; Siskiyou County Service Area 5 – Carrick, Gazelle and Montague","Communications & Engagement Plan page 6, 7","1. DAC's identified? (yes/no): yes
2. If yes, which level of engagment: non-DAC specific  inform & consult
3. Evidence/strategies listed for level of engagement: meetings and comments

GSP has listed DACs as stakeholders in the Communications & Engagement Plan. They have also included ways that all stakeholders can engage. Although there is no specific DAC-engagement their vague language could include DACs. ",
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"Tribal Engagement: In addition to the role that tribal representatives will play on Advisory Committees, the GSA will, as noted, maintain a government-to-government relationship with any tribe in the Siskiyou County/Klamath River watershed region that expresses interest in participating in SGMA activities. The GSA will seek to foster trust building, provide the opportunity for tribes to have meaningful involvement, and create a forum by which sovereign tribes can communicate their respective needs and interests around SGMA. As noted earlier, the GSA has utilized DWR Facilitation Support Services to help develop and maintain positive relationships with interested tribes.

Advisory Committee Members
• Tristan Allen, Montague Water Conservation District
• Lisa Faris, Big Springs Irrigation District
• Susan Fricke (Vice-Chair), Karuk Tribe Representative
• Blair Hart, Private Pumper
• Justin Holmes, Edson-Foulke Ditch Company
• Steve Mains, Grenada Irrigation District
• Robert Moser, Municipal/City (Lake Shastina Community)
• Peter Scala, Private Pumper
• John Tannaci (Chair), Residential
• Gregg Werner, Environmental/Conservation Representative
• Justin Sandahl, Shasta River Water Users Association

Tribal Engagement To foster meaningful engagement with Native American Tribes, the GSA will maintain a government-to-government relationship with any tribe in Siskiyou County or the larger Klamath River watershed which expresses interest in SGMA. In addition, the GSA has appointed a tribal representative to the Advisory Committees for the Shasta Valley, Scott Valley and Butte Valley groundwater basins. Tribal representation on these committees is based on multiple factors, including cultural relationship to the area, ancestral territory and land held in trust or reservation  6 within a given basin. The GSA has begun developing communication protocols and coordination agreements with tribes who have voiced interest in SGMA. Individual tribes are recognized as sovereign tribal nations; no one tribe represents another. In Shasta Valley, the Karuk Tribe is represented on the local SGMA Advisory Committee. 


Native AmericanTribes:
Inform, involve and consult
with tribal governments (See
DWR Tribal Engagement with
Tribal Guidance Document 7):
Shasta Indian Nation; Karuk Tribe;
Quartz Valley Tribe; Yurok Tribe;
Modoc Tribe of Oklahoma

The GSA maintains a government-to-government relationship with any Native American Tribe in Siskiyou County or the larger Klamath River watershed which expresses interest in SGMA. Tribal representatives have been appointed to the advisory committees in the Scott Valley, Shasta Valley and Butte Valley groundwater basins. Moreover, Siskiyou County and the Karuk Tribe formalized good faith communication protocols around SGMA through an established memorandum of understanding. 

Karuk Tribe
 The GSA developed a Memorandum of Understanding (MOU) with the Karuk Tribe regarding improving coordination and communication efforts related to GSP development which provided a bridge of opportunity to  discuss and deliberate on GSP development for the Scott and Shasta basins. This took multiple meetings, with valuable assistance from DWR provided Facilitation Support Services. The MOU (in Appendix 1-D) was signed and approved by the District Board on March 17, 2020. ","Communications & Engagement Plan page 5,6, 8, 12, 15
1-6
1-9","1. Tribes identified? (yes/no): Yes
2. If yes, which level of engagment: Empower
3. Evidence/strategies listed for level of engagement: MOU with Karuk Tribe and Karuk tribe has a rep on the advisory committee

GSP has listed Tribes as stakeholders, specifically Shasta Indian Nation; Karuk Tribe; Quartz Valley Tribe; Yurok Tribe; Modoc Tribe of Oklahoma. The GSP details and documents including a Karuk Tribe Respresentative as part of the GSP Advisory Committee, Although there are four tribes listed as stakeholders, only the Karuk Tribe is being actvively engaged through SGMA. ",
