Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"SH:  Only environmental stakeholders have representation on the Advisory Committee, DACs are not mapped, the subbasin is stated to be mostly DAC but most of the language is not DAC specific. 
ISW:Good ISW assessment; Data gaps identified; the plan maps th data gaps, but does not label them pSIWs
GDE: flora and fauna were identified, as well as critical species; clear description of GDE methods; lack of clarity around the groundwater data used; GDEs removed close to ag land; 2017-2020 water year types used, no inclusion of dry year; data gpas identiied and pGDEs mapped
CC: Water budget section severely lacking; no quantifications of any budgets. 2070 CT used and stated to incorporate precip, ET, and streamflow into projected budget. Unsure how projected SY was derived (SY section incomplete; SY stated to be lower than projected budget, which itself has its own uncertainty due to lack of quantification)
SMC: Missing details and evaluations.
PMA: the PMA section is divided into two ongoing and proposed section which made navigationg much easier. 
Other: No reference to OpenET; metering ongoing/planned for new installation; water market proposed. Planned/ongoing PMAs addressed supply augmentation through education and recycling, and proposed PMA addressed demand reduction through efficiency improvements. RWQCB identified as WQ authority, with hopes of coordination mentioned briefly.",,,,GSP ID,19,,,,
,,,,,,,GSA Name,Sierra Valley Groundwater Management District GSA,,,,
,,,,,,,Subbasin Name,SIERRA VALLEY - SIERRA VALLEY,,,,
,,,,,,,Consultant,Larry Walker & Associates,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,11010,,,,
,,,,,,,DAC Population,1602,,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,,
,,,,,,,Point Contact Name,Sara,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Public Workshops  Public workshops were held to share information and receive feedback on GSP content. These  workshops were designed to maximize opportunities for public input during key points in the GSP process. The following table recaps the workshops held during 2018, 2019 and 2021. All workshops were noticed through traditional media, social media and the Interested Parties ema

&&

2.1.5.4 Outreach Activities
To encourage active involvement of diverse social, cultural, and economic elements of the population within the basin, SVGMD uses a variety of traditional and web-based communication tools to keep stakeholders informed and engaged, including:  Print and on-line media/newspaper announcements: Mountain Messenger; Portola Reporter; Sierra Booster and www.sierraville.org  Outreach partners’ newsletters, websites, and social media accounts  GSA websites, with posting of TAC meeting minutes, materials and recordings on the SVGMD website  Interested parties email lists  Posting of public workshop flyers at local establishments  Distributing surveys using multiple formats: hard copies at workshops, posted as PDFs  and links to online versions

&&

2.1.5.3 Collaborative Planning and Public Engagement Process
As part of the technical planning approach for developing the GSP, the GSAs established a collaborative planning approach. As described in the Communication and Engagement Plan, Appendix 2-3, opportunities for public involvement featured:  convening of a Technical Advisory Committee, consisting of an array of stakeholder interests that met on a monthly basis;
 periodic Public Workshops, which provided information on planning efforts and received feedback an input from local participants;  presentations and updates at monthly SVGMD Board meetings; and  regular email communication and updates to interested parties.

&&

Stakeholder communication and engagement may be impacted by the economic status of the community. The Sierra Valley is generally considered a Disadvantaged Community (DACs) based on DWR criteria (https://gis.water.ca.gov/app/dacs/) in that the City of Loyalton and Chilcoot-Vinton and the City of Portola (nearby in Plumas County) are all classified by DWR as DACs. ",Chapter 2: 2-34 2-35 2-33 ,"1. DAC's identified? (yes/no): Specific cities within the basin were identified as being DACs including City of Loyalton and Chilcoot-Vinton and the City of Portola. 
2. If yes, which level of engagment: Engagement= Inform , consult, Involve
3. Evidence/strategies listed for level of engagement:

The GSP  lists engagement opporutnities open to all stakeholder identified. City of Loyalton and Chilcoot-Vinton and the City of Portola have all been identified as DACs. ",
