Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"ISW: lack of data and no map. Data gaps are identified but no description or map of pISWs
GDE: Good inventory and maps of GDEs; decent description of data but more detials needed; issues with how ""assumed not GDEs"" are classified (less than 50% temporal connection to groundwater)",,,,GSP ID,20,,,,
,,,,,,,GSA Name,Siskiyou County Flood Control and Water Conservation District GSA,,,,
,,,,,,,Subbasin Name,BUTTE VALLEY,,,,
,,,,,,,Consultant,LWA,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,1342,,,,
,,,,,,,DAC Population,512,,,,
,,,,,,,Tribal population,>0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,,,,,
,,,,,,,Point Contact Name,Lauren,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
