Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Notes:  (Sara) 1: The reference number in some of the texts are not identified. and has (Section Error! Reference source not found.), 2: Appendix A thru E is missing.

SH: There are federally recongized tribal lands within the basin, GSP mostly focuses on GSP development engagement and does not include as much information for outreach during implementation. Domestic wells are not indivuually mapped, instead included in a density map of all wells. 
ISW: ISW map is not clear; data is sparse in ISW section, but there are two groundwater elevation contour maps in section 3.2.8; plan concludes that ISWs are only in Banning Canyon area; no data gaps identified 
GDE: no inventory or description of flora and fauna; fairly clear description of methods; only two years of groundwater data used; GDE pulse changes in NDVI used as well; data gaps identified in MBMI land and kept as pGDEs
CC: GSP used 2030 and 2070 CT to incorporate precip, ET, and streamflow into projected WB; no surface budget included; precip/streamflow inputs put into GW budget. Projected SY is based off of current conditions.
SMC: This section is difficult to navigate, lots of repitition, they have evaluated sustainability indicator together for example: (lvl and storage together) . Missing details, evaluations.
PMA: They need to have a clear explanation on benefits to different beneficial users, they also need to mention clearly who will be implementing the PMA.
Other: No reference to OpenET; some metering ongoing, some proposed; brief, vague reference to water allocation trading. PMAs were mostly proposed, but quantified benefits to demand reduction/supply augmentation. ",,,,GSP ID,22,,,
,,,,,,,GSA Name,San Gorgonio Pass Basin GSA,,,
,,,,,,,Subbasin Name,COACHELLA VALLEY - SAN GORGONIO PASS,,,
,,,,,,,Consultant,Provost & Pritchard consulting,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,4786,,,
,,,,,,,DAC Population,1109,,,
,,,,,,,Tribal population,35772,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"2.5.3.3 Disadvantaged Communities within the San Gorgonio Pass Subbasin 
The Subbasin is supported by communities with diverse social, economic, and cultural backgrounds. During GSP Development, the GSAs considered the needs of all beneficial users of groundwater with an understanding of differences in resources across the Subbasin. To support groundwater sustainability, water needs, and future growth planning in conjunction with consideration of these resource discrepancies, the projects and management actions outlined in Chapter 6 – Projects and Management Actions prioritize benefits to Disadvantaged Communities, and the GSAs intend to support pursuance of grant funding to increase the likelihood of project and management action implementation. Nearly all of the Subbasin is considered a Disadvantaged Community (DAC) or Severely Disadvantaged Community (SDAC). A DAC is defined as a community with a Median Household Income (MHI) less than 80 percent of the California statewide MHI. The California Department of Water Resources (DWR) compiled U.S. Census Bureau’s American Community Survey (ACS) data from 2012 to 2017; these data were used in GIS to identify DACs within the San Gorgonio Pass Subbasin. Based on the DWR criteria, 40.9 percent of the geographic area of the Subbasin is  considered disadvantaged. Furthermore, a community with an MHI of less than 60 percent of the California statewide MHI, meaning an MHI of less than or equal to $38,270, is considered an SDAC. According to the U.S. Census ACS 2012-2017 data, there are a number of SDACs throughout the Subbasin, totaling 52.4 percent of the Subbasin area. Figure 2-13 depicts the DAC and SDAC areas within the SGP Subbasin.


2.5.3.2 Public Engagement in GSP Development
Opportunities for stakeholders and interested parties to engage and consult with GSAs during development of the GSP included the standing member agency board meetings, Stakeholder Advisory Group meetings, and the 60-day period to review the Public Draft GSP and provide public comments during that period. ","Chpater 2: 2-33
Figure 2-12","1. DAC's identified? (yes/no): Yes, over 40% of the basin is considered DAC. 
2. If yes, which level of engagment: Engagement=Inform, Consult
3. Evidence/strategies listed for level of engagement:
The GSP has identified most of the basin as a DAC. Does include vague language of DACs being considered but more information is needed about DAC consideration during GSP development. The GSP does include general information about how stakeholders were given opporunities to engage. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"Federally Recognized Tribes • Morongo Band of Mission Indians

&&

2.1.1.3 Tribal
The MBMI land includes agricultural, commercial, industrial, municipal, residential, and rural land uses. These lands include over 36,000 acres of trust land, located in the southern flank of the San Bernardino Mountains, the northern flank of the San Jacinto Mountains, and the valley floor of the San Gorgonio River. MBMI land includes several Tribal Government buildings, enterprise facilities, the Arrowhead Bottling Plant, and one of the largest casinos in California, the Morongo Casino, Resort & Spa. Approximately 13,111 acres of the over 36,000 acres are within the SGP Subbasin. 

&&

As a federally recognized tribal nation, the MBMI are not subject to state requirements such as SGMA and are not obligated to participate in or provide information for a GSP. They are included in the SGP GSP Working Group for purposes of developing the GSP but are not obligated to provide information for use in its development.

&&

While not a participant of the SGP GSP, MBMI is recognized as a significant stakeholder in the Subbasin’s groundwater sustainability and has been included as a participant in the SGP GSA’s Stakeholder Advisory Group. In addition, MBMI was actively involved in coordination for the GSP development through participation in the SGP GSP Working Group and is encouraged to remain engaged with the SGP GSP Working Group through the implementation period.

&&
The GSAs in the Subbasin are to collaborate to manage the aquifer to ensure the sustainability of groundwater resources for beneficial uses in the subbasin. This coordination can be most effective when there is collaboration between the GSAs’ member agencies, SGP groundwater beneficial users, adjacent Subbasins, and the Morongo Band of Mission Indians (MBMI or Tribe). MBMI is a federally recognized tribe, which means the Tribe is not subject to SGMA. However, MBMI is an active participant in the San
Gorgonio Pass GSP Working Group and has provided feedback and support in the development of the GSP and intended implementation. MBMI’s jurisdiction covers approximately 37 percent of the SGP Subbasin’s acreage. MBMI has an interest in groundwater sustainability as the Tribe produces groundwater to support the commercial, domestic, industrial, irrigation, and municipal uses, including the Morongo Casino, Resort, and Spa, located along Interstate 10 in Cabazon, California and the Arrowhead Water Bottling Plant.","ES-2
Figure 2-3
Chapter 2: 2-7
Chpater 6:6-9
Chpater 2: 2-12
Chapter 1: 1-2","1. Tribes identified? (yes/no): Yes, Morongo Band of Mission Tribe
2. If yes, which level of engagment: Engagement= Inform, Consult, Involve, Collaborate
3. Evidence/strategies listed for level of engagement:
GSP has ackowledged that the Morongo Band of Mission Indans (MBMI) is a federally recognized tribe within the basin that is not subject to SGMA but is included in the GSP development process as being included in the GSP Working Group as well as the Advisory Committee. The GSP has emphasied they rely on collaboration with MBMI to meet their sustainability goals.  "
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Federal Lands • United States Forest Service

&&

US Forest Service
The SGP Plan Area includes USFS land in the northern mountainous portion of the Subbasin. The USFS is recognized as a SGMA stakeholder and has been invited to participate in the SGP Stakeholder Advisory Group meetings.","Chapter 2: 2-12 &
2-28","
1. Environmental Stakeholders identified? Only the U.S. Forest Service is identified as a stakeholder, the closest to an environmental stakeholder although not explicitly named as an environmental stakeholder and only Federal Lands stakeholder
2. Which level of engagment:
3. Evidence/strategies listed for level of engagement:

Included in the Advisory Committee for GSP development. It is recommended to include language that suggests it is either an identified enviornmental stakeholder or not. 
"
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

GSP does not provide any outreach during implementation for any stakeholder. Focuses on outreach during GSP development. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",No,\,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? 
GSP does not provide any outreach during implementation for any stakeholder. Focuses on outreach during GSP development. "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",No,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

GSP does not provide any outreach during implementation for any stakeholder. Focuses on outreach during GSP development. "
