GENERAL,Unnamed: 1,General Notes ,Unnamed: 3,Unnamed: 4,GSP Information,Answer,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,"1-  For stakeholders first they mentioned the names and then said we will do different phases with all of the stakeholders and didn't go in details for each of them. 
2- They use both metric and imperial system which sometimes confuses the reader. 
3- The map on Figure 4-20, 4-22 needs to have more details on GDE 
4- the organization of the document is very hard to navigate. 
5- They didn't go deep into Plan Implementation. 
6- There is no Map of GDE.""                
                
                
                
                
                
                
                ",,,GSP ID,24,,,
,,,,,GSA Name,Bedford-Coldwater Subbasin GSA,,,
,,,,,Subbasin Name,ELSINORE - ELSINORE VALLEY - Bedford-Coldwater Subbasin,,,
,,,,,Consultant,"TODD Groundwater, H&H Water Resources, Stantec",,,
,,,,,GSP version,Draft,,,
,,,,,Acreage of GDEs per basin,934,,,
,,,,,DAC Population,," There are no economically distressed areas, disadvantaged communities, or severely disadvantaged communities in the Basin.",2.1.2,
,,,,,Tribal population,,. The area is managed by the Forest Service. No tribal lands are known within the Basin.,2.1.2,
,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,Coder Name,Lauren,Two coders: Lauren and Sara,,
GSP Plan Element,,Topic,Level,Criteria,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Not Applicable,,,
,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","Tribal, tribe, stakeholder, beneficial user",Somewhat,A list of interested parties was developed and provided to DWR during formation of the BCGSA. The BCGSA will continue to expand this list throughout the GSP development process. An initial list of stakeholders is presented in Table 1..California Native American Tribes • Soboba Band of Luiseño Indians • Rincon Band of Luiseño Indians • Agua Caliente Band of Cahuilla Indians • Temecula Band of Luiseño Indians,"Page 1 -2 / Appendix D

2-2","They say there are no Native American tribes within the basin but in stakeholder outreach and communication,  they mention the name of 4 tribes. Also It doesn't mention how they were notified and needs more detail. The outreach and communication plan provides a very basic understanding of consultation (public notice, meetings, and website) of neighboring tribes, but no real engagement.

Level of engagement: inform"
