Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"Overall, this plan is vague and lacks details. The Elsinore GSP does not consider DACs at all in the plan. Tribes were mentioned in the Stakeholder Outreach Plan in Appendix C but not engaged with or considered in GDE implementation.ISWs and GDEs are not discussed in depth. GDEs (discussed in this plan as riparian vegetation) are not analyzed with sufficient groundater data resulting in uncertainty and data gaps, yet no project and management plans proposed to address this. The plan states that the basin is alreay sustainable and propossed multiple plans to increase the sustainable yield of groundwater withdrawal in each MA.     

ISW: Map of ISWs; more information about data used to assess ISWs needed; ISWs dismissed because shallow aquifer is not main pumping aquifer; no map of pISWs
GDE: No mention of fauna in GDEs; Map of GDEs is not specific enough; plan excludes GDE polygons because it did not consider shallow aquifer principal; data gaps identified but in separate section of plan; no map of description of pGDEs          
                
                
                
                
                
                
                
                ",,,,GSP ID,25,,,,
,,,,,,,GSA Name,Elsinore Valley GSA,,,,
,,,,,,,Subbasin Name,ELSINORE - ELSINORE VALLEY,,,,
,,,,,,,Consultant,"Carollo Engineers, Inc. and TODD Groundwater",,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,934,,,,
,,,,,,,DAC Population,32630,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Will,Coders : Will & Becky,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,"Disadvantaged communities (DAC’s), including, but not limited to, those served by private domestic wells or small community water systems.
Multiple geographic areas within the Subbasin may fall within the DAC criteria, but have not yet been officially designated as DAC’s. During the GSP development process, efforts will be taken to identify DAC’s that should be kept informed regarding the GSP. && Disadvantaged communities (DAC), including, but not limited to, those served by private domestic wells systems or small community water: None identified","Appendix F, Page 2 (pdf page 157) && Page Appendix C, page 1-2 (pdf page 42), Table 1.1","1. DAC's identified? (yes/no): NO
2. If yes, which level of engagment: No Engagement
3. Evidence/strategies listed for level of engagement:
No identified stakeholders from DACs (see table 1.1 - List of Stakeholders in the EVGSA Area). This table serves as the contact list for sending out notices and meeting announcements for the development of the GSP. It seems that DACs were not involved at all. There is no mention or discussion of DACs in the main GSP text. Engagement = none",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"As a part of the GSP development, the District drilled two new monitoring wells, one in the Lee Lake MA and one in the Warm Springs MA. Coordination with local tribal entities was held in the event that cultural artifacts were found during the drilling process.
&&
What is your involvement with the local tribes?
 EVMWD maintains good relationships with local tribes. The tribes are concerned with ground-disturbing activities and EVMWD notifies them before such activities. Soboba and Pechanga Band of Luiseño Indians are heavily involved with EVMWD’s Capital Improvement Program and we value their input.","Section 1.2.1, page 1-2 (pdf page 30)
Appendix D, pdf page 56","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform & Involve
3. Evidence/strategies listed for level of engagement: The Soboba and Pechanga Band of Luiseño Indians are identified and the GSP references having involvement with the Capital's Improvement Program where they have given the GSA feedback on their plans. ",
