Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"General: The bookmarks in PDF starts from chapter 3. Appendix I and H is not available yet.

WQ: They need to add more mapping for other COC's, this is the first plan which has a section for vertical variation in WQ, not very deep though. 
ISW: Difficult to understand what the plan was trying to conclude. ISW information included in Current and Historical Groundwater Conditions (section 4)  and Sustainable Managment Criteria (section 6). Lack of temporal variability in data used, and two figures show differnt extent of ISW in the basin. 
GDE: Again, the organization and presentation of data was difficult to review. In section 4,  map of riparian vegetion was initially created by looking at aerial photographs from 2016. Then, in section 6, the plan included iGDE maps of NDVI changes from 1992 to 1998 in the basin's GDEs. The plan did not clearly present which GDEs were included/removed. Depth to groundwater was used in section 6, but this was related to pumping scenarios, and not related to assessing and characterizing GDEs. Not enough temporal variablity in data used. Overall, this plan need to be re-organized.
CLIMATE CHANGE: Very odd organization; historical and current budgets were in the water balance section, but projected budget was in the PMA section ""to provide context"". Projected sustainable yield back in the water budget section, but did not incorporate CC.
SMC: SMC is very vague, they have tried to fill papers with lots of generalized documents. However, the GDE in lowering of ISW is the only section they did a good job.
PMA: Very clear and detailed section.
OTHER: No use of Open ET, no water markets, minimal reference to planning to require flow meters. Mix of PMAs addressing supply augmentation/demand reduction, but demand reduction is focused on education and community-led conservation rather than pumping reductions. 
Stakeholders: GSP has included their Engagement & Communications Plan, there is some inclusion of DACs within the plan but still lacks details and consideration. Tribal lands are not considered after the GSP mentioned no tribal lands were identified within the Plan Area. Environmentsal Stakeholders are identified but no further information or engagement/outreach is targetted towards them. ",,,,GSP ID,26,,,
,,,,,,,GSA Name,San Benito County Water District in cooperation with Santa Clara Valley Water District,,,
,,,,,,,Subbasin Name,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,,,
,,,,,,,Consultant,TODD Groundwater,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2747,,,
,,,,,,,DAC Population,6517,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,,GSP Page / Section,Notes
