Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"Stakeholders: No federally recognized Tribes identified within the basin, the language around the presence of DACs within the basin was confusing. The GSP documented having an environmental stakeholder representative on the core advisory committee. No DAC mapping was included, domestic wells were mapped. 
WQ: They haven't done evaluation on WQ and they have data gaps for WQ.
ISW: no ISW map; model is used by no description or detail given; unsure if the plan consideres surface water as ISW or not; no data gaps identified 
GDE: some flora is identified, but no fauna or endangered/threatened species; clear description of methods for assessing GDEs; maps of NC dataset GDEs and refined GDEs, but blurry; GDEs removed based on proximity to surface water/irrigation; only one year of groundwater data used
CC: Used 2070 CT to account for precip and ET (surface flows accounted for in historic and current budgets only). Managed wetlands/native veg not accounted for.
SMC: This is too vague, they are losing lots of details.
PMA: The whole section is 3.5 pages. They need to bring more explanations and evaluate the benefits better.
Other: No mention of OpenET, meters, markets, or RWQCB as an interested party. PMAs were very brief and quite vague but most are planned for implementation within 5 years of GSP adoption.",,,,GSP ID,27,,,,
,,,,,,,GSA Name,Tulelake Irrigation District GSA,,,,
,,,,,,,Subbasin Name,KLAMATH RIVER VALLEY - TULELAKE,,,,
,,,,,,,Consultant,MBK Engineers,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,906,,,,
,,,,,,,DAC Population,1180,,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,,
,,,,,,,Point Contact Name,Sara,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Modoc County GSA The Modoc County GSA consists of the portion of the Subbasin within the jurisdictional boundary of Modoc County, and outside the boundary of TID. Modoc County meets the requirements of a severely disadvantaged community. The mailing address for the Modoc County GSA is:

Siskiyou County The Siskiyou County GSA consists of the portion of the Subbasin within the jurisdictional boundary of Siskiyou County, and outside the boundary of TID. Siskiyou County meets the requirements of a disadvantaged community. The mailing address for the Siskiyou County GSA is:

",2021-01-03 00:00:00,"1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement=Inform & Consult 
3. Evidence/strategies listed for level of engagement:

While they have identified the whole basin aas being a DAC, none of their engagement stategies account for the community being SDAC.  The GSA needs to be explicit about how they are engagind DACs present within the basin as they have very different challenges than a normal stakeholder. 

(note for Lauren & Katherine: GSA needs to be explicit in terms of how they are engaging with commmunities that is approporate as DACs.) ",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:",
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Yes,"3.2 SECONDARY STAKEHOLDERS Secondary stakeholder groups are those that have been identified in SGMA, Section 10723.2, “Consideration of All Beneficial Uses and Users of Groundwater”. These will include organizations, agencies, or individuals that have an interest in groundwater, such as the agriculture community, well owners, military, tribes, state and federal agencies, and environmental groups and agencies. Although the law clearly states that these interests are to be considered, the extent of engagement with the stakeholders is left to the GSAs to determine. TID will maintain and periodically review the list of secondary stakeholders specific to its management area to ensure that other interested persons or groups are identified and added to the list as needed. Each GSA in the Tulelake Subbasin will also maintain a list specific to its stakeholders and regularly share the list with the other Tulelake Subbasin GSAs.

&&

4.0 VENUES FOR ENGAGING To effectively inform, educate, and engage audiences regarding milestones, meeting dates and times, and other pertinent information about the development of the GSP, the GSAs will conduct the following activities to notify the public of engagement opportunities. 4.1 NOTIFICATIONS TID, the City of Tulelake, Modoc, and Siskiyou Counties will use a multi‐layered approach to effectively inform interested parties of upcoming opportunities to engage in the GSP. The four GSAs formed a Core 5 Team with representatives from each GSA to meet quarterly in order to coordinate GSP related activities. The multi‐layered approach to inform interested parties includes:  Email blast using an established interested party email list. Maintain a list of interested stakeholder email database updated frequently based on interest and sign‐ups of submitted forms, at TID board meetings, at Core Team meetings and other venues.  Website postings with agendas, meeting minutes, and presentations.  Newspaper media including calendar notices for publication. 4.2 ENGAGEMENT METHODS The GSAs will use a variety of methods and venues to engage stakeholders throughout GSP development and implementation.  Quarterly public meetings of the Core Team: Conduct public GSA meetings, as needed, to encourage input on items associated with the development of the Groundwater Sustainability Plan and to garner general feedback for consideration. Each meeting will include a set agenda with opportunities to comment on agenda items as well as a public comment period for items not agendized.

&&


List of Tulelake Subbasin Core Team Advisory Members
Environmental Conservation Water User – Mike Byrne","Appendix C: Communications and Engagement Page 4, 5
Page 145 of 403","
1. Environmental Stakeholders identified? Interested Environmental parties were listed in the exhibits section of Appendix C which includes several environmental organizations such as US FIsh & Wildlife, The Nature Conservacy, NOAA. 
2. Which level of engagment: Engagement=Inform & Involve
3. Evidence/strategies listed for level of engagement:
The GSP includes a list of four Core Team Advisory Members which includes Mike Byrne which is listed to represent as an environmental conservation water user. Core Team Advisory members are documented to have been engaged through several meetings and have had some input in GSP development. ",
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"7.2 Schedule for Implementation The final Plan will be submitted to DWR no later than January 31, 2022. Following the submittal there are reporting and periodic evaluation requirements, as described in Section 7.3. In addition, the GSAs plan to hold at least quarterly public meetings to discuss the status of the reporting requirements, the projects, and management actions described in Section 6, and ongoing public outreach and education. These meetings will help to ensure that the GSP is implemented, and that the sustainability goal is maintained.",2021-07-02 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no) Somewhat
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement?

GSP includes general  language of ongoing public outreach during implementation. 

(note for Lauren & Katherine: GSA needs to be explicit in terms of how they are engaging with commmunities that is appropriate as DACs, although the whole basin has been designated as a DAC by the SGMA Data Viewer, the GSP should include language that suggests they are considering the challenges and needs of DACs withint the basin)",
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? ",
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Yes,"7.2 Schedule for Implementation The final Plan will be submitted to DWR no later than January 31, 2022. Following the submittal there are reporting and periodic evaluation requirements, as described in Section 7.3. In addition, the GSAs plan to hold at least quarterly public meetings to discuss the status of the reporting requirements, the projects, and management actions described in Section 6, and ongoing public outreach and education. These meetings will help to ensure that the GSP is implemented, and that the sustainability goal is maintained.

4.2 ENGAGEMENT METHODS The GSAs will use a variety of methods and venues to engage stakeholders throughout GSP development and implementation.  Quarterly public meetings of the Core Team: Conduct public GSA meetings, as needed, to encourage input on items associated with the development of the Groundwater Sustainability Plan and to garner general feedback for consideration. Each meeting will include a set agenda with opportunities to comment on agenda items as well as a public comment period for items not agendized.

List of Tulelake Subbasin Core Team Advisory Members
Environmental Conservation Water User – Mike Byrn",2021-07-02 00:00:00,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

Engagement=Inform, Involve , Collaborate

Includes very general outreach plans during implementation which is hold quarterly meetings and continue public education, also mentions the contiation of quarterly meetings of the Core Team Advisory Members which includes an environmenal conservation water user as a representative. ",
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Apendix C: Communication and Engagement Plan for the Groundwater Sustainability Plan,Title: Communication and Engagement Plan for the Groundwater Sustainability Plan,
