Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: Although Tribes were not identified as being federally recognized, the GSP has identified members of Tribal communities residing at Napa Valley. GDEs were one of the more focused areas for environmental stakeholders and Napa Valley has identified 
ISW: There is not a clear ISW map but supporting maps; unsure by conclusions due to lack of clear visualization of ISWs in basin; pISWs not mapped; groundwater data from 2010, 2015, and 2019 used
GDE: good description of flora, fauna, and critical species; clear methods for GDE identififcation; plan included all NC dataset (plus local datasets) GDEs after comparing to 2010, 2015, and 2019 groundwater data; data gaps were alluded to, but not clear
CC: Used a wet/moderate and a dry/extreme scenario using 2 GCM/RCP combos to incorporate precip, ET (native not separated), and surface flow (imports adjusted). Projected SY is based off of future conditions.
SMC: They have done a good job on GW elevation, however the ISW is still not complete and needs more detail regarding GDE, THe MO section although they have some sort of explanation on how they set it, but it is beneficial users
PMA: This section is missing details on beneficial users
Other: Referenced OpenET (no implementation plans); some metering ongoing (nothing new proposed); vague reference to water market. Planned projects addressed supply augmentation and planned MAs addressed demand reduction.",,,,GSP ID,29,,,
,,,,,,,GSA Name,County of Napa,,,
,,,,,,,Subbasin Name,NAPA-SONOMA VALLEY - NAPA VALLEY,,,
,,,,,,,Consultant,Luhdorff & Scalmanini Consulting Engineers,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2046,,,
,,,,,,,DAC Population,,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"3.4.1.6. Disadvantaged Communities
Disadvantaged communities (DACs) within the Plan area include, but are not limited to, those served by private domestic wells or small community water systems. Disadvantaged communities generally refer to areas where residents suffer from a combination of economic, health, and environmental burdens that may hinder residents’ ability to engage and participate in SGMA implementation activities. These burdens may include poverty, high unemployment, air and water pollution, presence of hazardous wastes, as well as high incidence of asthma and heart disease. DACs in the Plan area include non-English speaking residents, tribal members, Latinx communities, and economically disadvantaged residents. DACs are defined in the CWC as communities with an annual median household income that is less than 80 percent ($51,026) of the Statewide annual median household income ($63,783) (CWC §79505.5). In addition, the California Public Resources Code defines severely disadvantaged communities (SDAC) as those with an annual MHI less than 60 percent of the of the Statewide annual MHI (Public Resources Code §79505). The CWC §79505.5a also defines economically distressed areas (EDA) as municipalities with a population of 20,000 persons or less, a rural county, or a reasonably isolated and divisible segment of a larger municipality where the segment of the population is 20,000 persons or less, with an annual MHI that is less than 85 percent of the statewide MHI, and with one or more of the following conditions as determined by DWR: 1) financial hardship; 2) unemployment rate at least 2 percent higher than the statewide average; or 3) low population density (CWC §79702(k)). DACs, SDACs, and EDAs, are collectively referenced here as Disadvantaged Areas (DAs). Table 3-5 presents the percentage of area within the Subbasin that are designated as DACs and EDAs.

Described in the NCGSA Communication and Engagement Plan (CONCUR, 2020), NCGSA considers the interests of underrepresented community members within the Subbasin, which includes non-English speaking residents, tribal members, Latinx communities, and disadvantaged communities. The NCGSA uses multiple sources of information to identify disadvantaged residents and map DAs in the Plan area, including maps based on U.S. Census Bureau data provided by DWR, data from County programs and departments, and data from partners and outside groups. Data show that DAs occur throughout the Subbasin, including areas in the northern and central Subbasin and in the City of Napa in the southern Subbasin. An important subset of DAs are SDACs that cover about 2.4% of the Subbasin and include areas near and within the Cities of Calistoga and St. Helena. Figure 3-13 shows the location and extent of DACs and SDACs mapped by DWR, using U.S. Census Bureau data, and farmworker housing centers mapped by the County. Farmworker housing centers are publicly owned centers that primarily serve migrant and temporary farmworkers. No applications from individuals identifying as representing a DAC were received to participate on the GSPAC. To compensate for this absence, NCGSA staff plan to identify the barriers to participation for these groups and devise methods to overcome these barriers. Staff plan to build relationships with social service and other organizations that have connections to these community members to reach them and communicate effectively in English and Spanish. GSA staff will work with Spanish-speaking staff at the NCRCD and will use translation resources available through DWR where possible. While there are no federally recognized tribes within Napa County, there are members of tribes who reside in Napa County. The GSA will encourage the participation of local tribal organizations. The GSA is actively reaching out to the Yocha Dehe Wintun Nation, which is a federally recognized tribe in proximity to Napa County and the Napa Valley Subbasin, to identify whether and how the tribe would like to be involved in GSP development and implementation.

&&

3.4.2. Public Notices and Opportunities for Public Engagement
Consistent with the NCGSA Communication and Engagement Plan (2020), the NCGSA coordinates with stakeholders and conducts outreach and solicitation of input to achieve transparent and stakeholder1849 driven water resource management in the Napa Valley Subbasin. Described in Section 3.4.1, the NCGSA considers the interests of beneficial users within the Subbasin and maintains a list interested parties that the NCGSA uses to inform these individuals of opportunities to participate in the Plan development. The NCGSA posts meeting agendas; all meetings are open to the public and publicized on the Count website. Also on the County website, interested persons may sign up to be on the NCGSA email list to receive SGMA and GSP-related updates. NCGSA will use the list of interested parties to provide notification and information related to implementation of this Plan following its adoption. A total of X public meetings took place during the development of this Plan (Table 3-6). Meetings were structured to address one or more Sections of the GSP and provide progress updates on GSP development. Draft GSP Sections were released according to a publicly posted schedule for public comment beginning in July2020. The release of GSP sections and scheduled meetings were staggered to provide time for stakeholder review of GSP sections and to allow for a question and comment period at subsequent public meetings. To encourage the active involvement of social, cultural, and economic elements within the Subbasin boundaries, public meetings were held to inform the public of the status of GSP development and how the public could be involved in the process. The NCGSA will continue to inform the public regarding the progress of Plan implementation on its website (https://www.countyofnapa.org/1238/Groundwater1866 Sustainability-Planning).

&&

1.2.1.1. Outreach
[Information on outreach efforts of the Napa County GSA to be added pending Communications & Engagement Plan Update]","Chapter 3: 3-53
3-55
1-11","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: (might have to look back and try to find map)
3. Evidence/strategies listed for level of engagement: Engagement=Inform.& Consult with the intenion to engage and conisder community outreach and impact. The GSP mentions ""No applications from individuals identifying as representing a DAC were received to participate on the GSPAC."" The potential for having DACs interests on the advisory committee is a step towards collaboration, but it is unclear from this statement whether there was active efforts on behalf of the GSP to engage DAC community members and notify community groups of the availability of the position and/or invite them to apply and/or nominate them to serve. This language seems very passive, and as such, it is unclear whether efforts were made to enable DAC representation on the board. If greater efforts were taken (e.g. a DAC rep was nominated, but declined), it would be helpful if the GSP could clarify this."
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"While there are no federally recognized tribes within Napa County, there are members of tribes who reside in Napa County. The GSA will encourage the participation of local tribal organizations. The GSA is actively reaching out to the Yocha Dehe Wintun Nation, which is a federally recognized tribe in proximity to Napa County and the Napa Valley Subbasin, to identify whether and how the tribe would like to be involved in GSP development and implementation.

&&

3.4.2. Public Notices and Opportunities for Public Engagement
Consistent with the NCGSA Communication and Engagement Plan (2020), the NCGSA coordinates with stakeholders and conducts outreach and solicitation of input to achieve transparent and stakeholder1849 driven water resource management in the Napa Valley Subbasin. Described in Section 3.4.1, the NCGSA considers the interests of beneficial users within the Subbasin and maintains a list interested parties that the NCGSA uses to inform these individuals of opportunities to participate in the Plan development. The NCGSA posts meeting agendas; all meetings are open to the public and publicized on the Count website. Also on the County website, interested persons may sign up to be on the NCGSA email list to receive SGMA and GSP-related updates. NCGSA will use the list of interested parties to provide notification and information related to implementation of this Plan following its adoption. A total of X public meetings took place during the development of this Plan (Table 3-6). Meetings were structured to address one or more Sections of the GSP and provide progress updates on GSP development. Draft GSP Sections were released according to a publicly posted schedule for public comment beginning in July2020. The release of GSP sections and scheduled meetings were staggered to provide time for stakeholder review of GSP sections and to allow for a question and comment period at subsequent public meetings. To encourage the active involvement of social, cultural, and economic elements within the Subbasin boundaries, public meetings were held to inform the public of the status of GSP development and how the public could be involved in the process. The NCGSA will continue to inform the public regarding the progress of Plan implementation on its website (https://www.countyofnapa.org/1238/Groundwater1866 Sustainability-Planning).",3-55,"1. Tribes identified? (yes/no): Yes, the GSP has included reaching out and trying to get someone from the Tribal community to represent them. 
2. If yes, which level of engagment: Engagement=Infom & Consult
3. Evidence/strategies listed for level of engagement:

The GSP notes reaching out to Tribes to figure out how to involve Tribes in GSP development and implementation. "
