Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Land Use Inventory Technical Memorandum (In Preparation) (GHD, November 2021)  
9 IMPLEMENTATION: This section will be developed in the final plan.


SH: Economically Distressed Areas were identified to make up over 77% of the Basin population, Tribes and environmental stakeholders were identified as well. The GSP lacks information on targetted engagement for stakeholders and outreach during GSP implementation. 
ISW: map of ISWs, fairly clear methods, except uncertanty about screening dpeths and limited years of groundater data used, no data gaps identified and no pISWs mapped
GDE: detailed description of flora, fuana, and critical species; clear maps of GDEs, data gaps identified and pGDEs mapped; GDE appendix very detailed
CC: 2030 and 2070 CC scenarios used; no quantified budget presented. ET/surface flow not stated to be accounted for. No sustainable yield given.
SMC: this section is missing analysis on beneficial users.
PMA: PMA needs more explanation on what projects they are considering. (This section looked very rushed and it is missing a lot of details)
Other: No reference to OpenET, metering requirements, or markets. PMA section was very brief and did not include details of expected benefits. Technically addressed demand reduction
",,,,GSP ID,2,,,
,,,,,,,GSA Name,City of Humboldt GSA,,,
,,,,,,,Subbasin Name,EEL RIVER VALLEY,,,
,,,,,,,Consultant,"GHD, SHN Consulting Engineers and Geologists,
Stillwater Sciences, Thomas Gast & Associates, Western Resource Strategies",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,13419,,,
,,,,,,,DAC Population,16301,,,
,,,,,,,Tribal population,6,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
