Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: no DACs within the basin, Tribes and envirionmental stakeholders are present. Domestic wells were mapped in a map with all other wells but are distinguished apart through a legend pinpointing colors
ISW: no ISW map, confusion about what is considered principal aquifer, conclusions are not clear, data gaps identified and potential ISWs are somewhat addressed but not mapped
GDE: only vegetation described, no flauna and no listed species, clear description of GDE assessment methods and criteria, GDEs were not removed but were labeled as ""unlikely"" because supported by shallow perched aquifer that is not thought to be connected to pumping principal aquifer, data gaps identified and pGDEs mapped
CC: Used 2030 and 2070 CT to incorporate precip and ET (native not separated); surface flows not included in budget. Projected SY is based off of projected water budget.
SMC: SMC is vague and missing details on Domestic users and GDE
PMA: They just have one recharge project but no mention of benefits to other beneficial users, they have addressed their data gaps in this section.
Other: No reference to OpenET; metering of new wells already required; no reference to water markets (exports already prohibited). Planned PMA addressed demand reduction, and proposed PMAs addressed supply augmentation.",,,,GSP ID,31,,,
,,,,,,,GSA Name,Ojai Basin Groundwater Management Agency GSA,,,
,,,,,,,Subbasin Name,OJAI VALLEY,,,
,,,,,,,Consultant,Dudek,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,249,,,
,,,,,,,DAC Population,,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Not Applicable,"Table 1-1: Human Right to Water:
Domestic water users, Disadvantaged Communities, Chumash Barbareño/Ventureño Band of Mission Indians
Inform and involve to provide a safe and secure groundwater supplies to DACs

&&

As defined in California Health and Safety Code, Section 116275, disadvantaged communities (DACs) are Census geographies having less than 80% of the statewide annual median household income. Based on 2016 DAC mapping at the Census Block Group level, approximately 1,220 acres of the OVGB are identified as severely disadvantaged with a median household income of $26,250 per year, and 640 acres are disadvantaged with a median household income of $50,200 per year (DWR 2020b). More recent 2018 DAC mapping at the Census Block Group Level indicates the areas of the OVGB previously identified as disadvantaged are no longer designated as disadvantaged (DWR 2020b).

&&

(i) Disadvantaged Communities: There are no disadvantaged communities identified by DWR within the OVGB.","Table 1-1 (Page 1-7)
2-39 to 2-40
Appendix B: List of Beneficial Users , B-1","1. DAC's identified? (yes/no): NA, GSP notes that 2018 DWR DAC mapping does not show any DAC populations wthin the subbasin. 
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"Table 1-1: Human Right to Water:
Domestic water users, Disadvantaged Communities, Chumash Barbareño/Ventureño Band of Mission Indians
Inform and involve to provide a safe and secure groundwater supplies to DACs

&&

5.1 Staying Informed 
The best way for interested parties to get the latest information on the GSP development process is to subscribe to the email distribution list. Interested parties can subscribe to the email distribution list by sending an email to OjaiBasinGSP@gmail.com that includes “request to be added to the interested parties list” in the subject line and body of the email. Additional outreach to stakeholders will be conducted as appropriate to direct users to the website and to subscribe to electronic project updates and meeting announcements. Outreach may include announcements with extraction statements, media releases, announcements through the Ventura River Watershed Council, agricultural industry organizations, or other methods as appropriate. Regular communications will be distributed via email throughout the GSP development process. Emails, agency website posts, and physical postings at Ojai City Hall will concurrently provide notice of public meetings and other important updates. This approach will increase the success of the GSP by fostering early public participation, developing stakeholder supported management strategies, and enhancing the data quality and basis of GSP development. Specifically, OBGMA will implement the following tiered outreach strategy to actively engage a diverse group of stakeholders in the development of the GSP: • Provide regular updates on GSP development progress via email to the list of interested parties • Direct outreach to key stakeholders, including tribal interests, through phone and email • Receive questions and public comments via a central email address (OjaiBasinGSP@gmail.com) • Maintain the OBGMA website as a centralized location where stakeholders can obtain GSP information • Hold public meetings where members of the public can ask questions and provide comment This tiered engagement strategy is designed to give a diverse group of stakeholders multiple opportunities to participate, as appropriate, based on their level of interest, availability, and communication style. The OBGMA will continuously evaluate progress towards the stakeholder outreach and engagement goal. The OBGMA may adjust the engagement strategy and/or provide additional outreach opportunities as needed throughout the GSP development and implementation process.

&&

The GSA must also allow for voluntary participation by Native American tribes and the federal government (SGMA Section 10720.3).
The Ojai Basin Groundwater Management Agency (OBGMA) interested parties list includes federal agency representatives and a local tribal representative. OBGMA also reached out via phone to invite participation in the Groundwater Sustainability Plan (GSP) development (Appendix B). 

&&

California Native American tribes: The local Chumash Barbareño/Ventureño Band of Mission Indians is on the list of interested parties and is invited to participate. The OBGMA is currently working to locate the nearest contact in the Ojai Valley and expects to send information soon after the time of print of this Outreach and Engagement Plan. ","Table 1-1 (Page 1-7)
Appendix C: Page 13
Appendix A: Page A-1
Appendix B: Page B-1","1. Tribes identified? (yes/no): Yes, Chumash Barbaeño/Ventureño Band of Mission Indians
2. If yes, which level of engagment: Engagement= Inform, Invvolve, Consult, Collaorate
3. Evidence/strategies listed for level of engagement:

The GSP has mentioned that Ojai Basin has included a tribal representative. More information is needed about the role of the tribal representative. "
