Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: GSP  includes 3 DAC maps, block, tract and places Map, also includes tribal and domestic well density map. Lacks information on stakeholder outreach during implementation. 
ISW: Decent assessment of ISWs, clear map and methods were explained well; no data gaps identified even though there is said to be a lack of shallow wells to identify GDEs?
GDE: No inventory or description of fauna or critical or listed species; clear description of GDE assessment methods; good maps; only one year of groundwater data used; data gaps somehwat identified and pGDEs were acknolwedged
CC: GSP used HadGEM2-ES GCM and RCP 8.5 to incorporate precip, ET (not native or managed wetlands), and streamflow (imports not separated out) inputs into budget w/ climate change. Projected SY based on future conditions.
SMC: No thorough evaluation on beneficial users
PMA: Very small section, they have ongoing and planned section.
Other: No reference to OpenET; explicit statement that meters will not be required; no new water markets (some in place). PMAs address supply augmentation and demand reduction with onoging activitiy. 
",,,,GSP ID,33,,,
,,,,,,,GSA Name,Enterprise-Anderson GSA,,,
,,,,,,,Subbasin Name,REDDING AREA - ANDERSON,,,
,,,,,,,Consultant,Jacobs,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,4376,,,
,,,,,,,DAC Population,38313,,,
,,,,,,,Tribal population,72,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
