Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"StakeHolder: The stakeholder sections were mostly addressing all of Tehema County. No explicit plans for specific outreach during implementation. 
ISW: no ISW map, very vague and brief assessment of ISWs due to lack of data, which is acknolwedged well; water budget section includes some description of gaining conditions of the Sacramento River
GDE: no inventory/description/map of flora and fuana in basin; no mention of threatened or endangered species; clear description of methods but lack of data and the plan did not include the figures referenced in appendix 2-H; plan seems to remove GDEs based on proximity to irrigated land and based on NDVI trend; GDE data gaps well identified
CC: Used 2030 and 2070 CT with various land use scenarios to incorporate precip, ET (Native ET separated out), and surface flow (including imports). Projected SY based on 2070 w/ future land use scenario.
SMC: Vague section, needs much more details and evaluation, ISW section has lots of data gaps
PMA: Detailed section with projects almost covering all the questions. Since they subbasin is SDAC, there will be benefited from PMA sections, however it is not detailed how they will be benefited.
Other: No mention of OpenET; additional metering proposed; water market proposed. All PMAs (except maybe one) were proposed, but addressed demand reduction/supply augmentation. No coordination with RWQCB",,,,GSP ID,35,,,
,,,,,,,GSA Name,Tehama County Flood Control and Water Conservation District GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - ANTELOPE,,,
,,,,,,,Consultant,Luhdorff & Scalmanini,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2118,,,
,,,,,,,DAC Population,71171,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"""inform and involve to provide safe and secure groundwater supplies to all communities reliant on groundwater""  opportunities invlove: public meetings, hearning, workshops, notices, stakeholder briefings, and newsletters.

&&


Active involvement of the public and stakeholders was encouraged in a variety of ways: • Public Meetings - Groundwater Commission and District Board of Directors meetings were open to the public and followed the requirements of the Brown Act. The public had opportunities to provide comments on programs, plans, and proposals at these meetings. • Public Hearings - Public hearings were held prior to the adoption of any fees, GSP elements, and the final GSP. • Public Workshops – These included all educational opportunities where the public could learn about SGMA, GSA, and GSP elements. These events were typically held as tailgates and webinars. • Public Notices – Notices were sent to the public prior to the initial development of the GSP and to inform the public of ways in which they could be involved in the GSP development and implementation process. • Stakeholder Briefings – Groundwater Commission members regularly communicated with and disseminated information to the stakeholder groups they represent. • Newsletters - Quarterly newsletters were provided to update the public and stakeholders on GSP development. A full list of meetings, public hearings, and workshops during which the public had the opportunity to be engaged is included in Table 2-7. Additionally, presentations were provided to stakeholder groups as listed in Appendix 2-C.. 

&&

Communications & Engagement: Appendix D: Disadavanatged Communities Engagement in Tehama County
Outreach Steps: Phase I
1. Use DWR Disadvantaged Communities Mapping Tool or other geographic information system technology to help identify disadvantaged, severely disadvantaged and economically distressed
communities within the Cosumnes subbasin.
2. GSAs share insights on engaging with members of these communities from past projects or efforts. Also consider the key outreach principles identified below.
3. Review catalog of existing outreach materials. Modify as necessary to fit the needs of each community. This may include translating select materials into one or more languages. Develop
additional materials if advantageous.
4. Identify potential points of contacts / outreach partners for DAC engagement. See preliminary list of partners below. Conduct an initial, informal communication with organizational points of contact to clarify interest in engaging DAC communities on SGMA; request advice about appropriate avenues for outreach; and identify next steps.

&&

Key Outreach Partners/ Liaisons
The following lists potential partners for outreach to DACs:
♦ Rural Community Assistance Corporation
♦ Self Help Enterprises
♦ Leadership Council for Justice and Accountability
♦ Clean Water Action

&&

Key Outreach and Engagement Principles: (DAC Engagement)
♦ Decisions that impact DACs must be done with their guidance and input, and agencies should ensure that community residents are able to give meaningful input into the process.
♦ Partner with local community-based organizations as trusted messengers.
♦ Target outreach materials and approach appropriately by tailoring communications to the community’s needs. Be mindful of language and cultural differences.
♦ Be aware of communities’ level of access to computers, internet, and phone connections.
♦ Engage early and often. Reach out to community-based organizations and other stakeholders who may be in direct communication with residents early to help make sure that residents are informed and notified through multiple channels about options for public meetings.
♦ Understand who the target audience is (e.g., with whom you will be meeting) to understand where and when to meet (such as during the day vs. evening meetings)
♦ Conduct meetings at times convenient for public participation with ample notifications.
♦ When possible, travel to the target community to meet them in their locale.
♦ One-on-one meetings with individual communities and stakeholders may be more appropriate than trying to meet with several entities in one location.
♦ For virtual meetings, provide multiple options for teleconferencing, with two-way communication options that allows either computer-users or phone-users to engage. Consider using separate teleconference lines or audio channels to meet language accessneeds.
♦ Several meetings may be required to engage new communities and involve them in the SGMA process.
♦ Provide in-meeting translation and translated materials to the maximum extent possible.
♦ Though there may be commonalities across regions, each community/DAC/tribe/water system/stakeholder has unique and individualized water-related concerns.

&&

Public Meetings/Hearing
Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. The District Board of Directors meetings and the Groundwater Commission meetings constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSPs. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will hold required. public meetings and hearings, but will also use less formal public workshops to solicit feedback and information early in the process.
Stakeholder Briefings
Groundwater Commission members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. District staff will be available to assist with presenting any information upon request.
Public Workshops
Public educational workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input.
Public Notices
Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSPs, including workshops, public hearings, providing comments at District Board meetings and Groundwater

Commission meetings and through written comments. And, the GSA will comply with public noticing requirements.
Prior to adoption of or amendment(s) to GSPs, SGMA requires that GSA:
• Provides notice to cities and counties within Plan area
• Considers comments provided by the cities and counties
• Accommodates requests for consultation received from the cities and counties within 30 days
• No sooner than 90 days following public notice, holds public hearings
In addition, when a GSA considers any fees to support the work of sustainability, the GSA will provide
public notice and other engagement activities.","Page 2A-43/ 2.1.5.2         Appendix 2A-17
Communications & Engagement, Appendix D: DAC Engagement Page 25","1. DAC's identified? (yes/no): yes, communities identified: unincorportated county (antelope area), portion of the citt of red bluff, dairyville, riverview MHC, gurnsey ave MW, modern village MWC, howell's lakeside WC, antoinette MW, friendly acres MHP.
2. If yes, which level of engagment: Engagement= Inform and Involve 
3. Evidence/strategies listed for level of engagement: DACs identified but not invited to be apart of GSA or advisory group. 

GSP has identified several outreach partners to engage with and communicate during GSP development including Clean Water Action, Rural Community Assistance Corporation
Self Help Enterprises, and  Leadership Council for Justice and Accountability. Most of documented engagement is rooted in communication and outreach to get members of DAC to come out and engage in general stakeholder meetings.   The Communications & Engagement Plan also includes engagement open to all stakeholders. "
