Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Stakeholder: Most of the subbasin is desginated as a DAC, although no Tribal lands were mapped offocially using database programs, the GSA has identified Greenville Rancheria Tribe as a stakeholder. Domestic wells and well depths are mapped. 
ISW: no ISW map, very vague and brief assessment of ISWs due to lack of data, which is acknolwedged well; water budget section includes some description of gaining conditions of the Sacramento River
GDE: no inventory/description/map of flora and fuana in basin; no mention of threatened or endangered species; clear description of methods but lack of data and the plan did not include the figures referenced in appendix 2-H; plan seems to remove GDEs based on proximity to irrigated land and based on NDVI trend; GDE data gaps well identified 
CC: Used 2070 CT scenario to account for precip, ET, and surface flow. Also used 2030 CT for some overall estimates, but not for specific inputs. Projected SY is based on the projected 2070 budget.
SMC: The SMC section is interesting, they start by explaining MO first rather than UR or MT, The UR section is very small. The whole SMC section is vague and missing lots of details. At monitoring network section they mention their data gaps for ISW
PMA: They have done a detailed job explaining different projects, only time of implementation needs to be more precise for their projects. Also since the subbasin is SDAC, most of their projects have benefit to them.
Other: No mention of OpenET; new metering proposed (some already ongoing); water market proposed. PMAs were all proposed (despite some being listed as otherwise), but some of the proposals addressed demand reduction/supply augmentation. RWQCB identified as WQ authority but no coordination w/ GSA.",,,,GSP ID,37,,,
,,,,,,,GSA Name,Tehama County Flood Control and Water Conservation District GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - RED BLUFF,,,
,,,,,,,Consultant,Luhdorff & Scalmanini,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,6230,,,
,,,,,,,DAC Population,32254,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,47,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
