Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"WQ: They haven't done evaluation on Water Quality, no spatial maps of COC's.
ISW: Decent ISW assessment; map presents percetage of connection; lack of description of model used
GDE: No description or inventory of flora/fauna; clear descroption of methods used to characterize GDEs, but some possibily incorrect methods used; no groundwater data used to assess GDEs; pGDEs are not well described
CLIMATE CHANGE: Used numerical model to incorporate precip, ET, and surface flow into 2030 and 2070 CT projections (including native veg/managed wetlands). Projected SY not based on projected WB (used historic pumping).
PMA: They have clearly set the PMA section, stating benefits, plans and implementation conditions
OTHER: No mention of Open ET or water markets, minimal and vague mention of installing flow meters. PMAs did a good job addressing overdraft through demand reduction/supply augmentation with both planned and potential projects.
Stakeholders: Includes additional appendic that focuses on tribal outreach and engagenement, does not include map of tribal lands",,,,GSP ID,38,,,
,,,,,,,GSA Name,Wyandotte Creek GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - WYANDOTTE CREEK,,,
,,,,,,,Consultant,GeoSyntec Consultants,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,5807,,,
,,,,,,,DAC Population,42961,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,1398,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
