Unnamed: 0,GENERAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: Decent analysis - the plan used a model and did a good job, overall, of describing the data that went into the model in the appendices. Data gaps are identified. pISWs could have been better described.
GDE: Decent analysis - the plan gave a thorough description of the methods and data used to assess the NC dataset GDE polygons. The plan did not include a detailed inventory, map, or description of flora OR fauna. A good range of groundwater data used. Data gaps are identified, but pGDEs could have been better described 
GW Quality: Needs more recent data, and graphs needs to be done again, graphs are not clear.
SMC: This section has no detail and evaluation on SMC section. 
CLIMATE CHANGE: Water budget difficult to navigate; some information was found in the main GSP text, while other was found in the separate Water Budget Chapter document (not sure why that was not included with the main GSP). Basin broken down into and discussed by each management area, as well as the basin as a whole, with all 2030 and 2070 scenarios considered. 
OTHER: No mention of Open ET, well meters, or new water markets. PMA section was incredibly sparse, with minimal detail given for each PMA (in table format).
Stakeholders: No mention of DAC or Tribes anywhere in the text. Failed to provide any details if DAC and Tribe populations are not present or just not included in the plan.Environmental stakeholders are mostly written off as well. More information is needed for stakeholder engagement since no concrete Communications & Engagement plan was provided for review. ",,,,GSP ID,3,,,
,,,,,,,GSA Name,Yolo GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - YOLO,,,
,,,,,,,Consultant,"GEI Consultants, Inc.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,17201,,,
,,,,,,,DAC Population,87368,"42,031 from Meagan's spreadsheet",,
,,,,,,,Tribal population,50,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,13678,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,,,"1. DAC's identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

No mention of DAC anywhere in the GSP text. "
