Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Stakeholders: map of DACs provided, no specific depth on location maps for domestic wells. No tribes within the Plan Area. Provides a specific appendix to discuss DACs and identifies their struggle to access water and identifies water sources and does include environmental users but at a much less capacity. 
ISW: figure included which shows percentage of connection over model period; lack of groundwater and surface water monitoring points in basin; vague analysis and not enough detail about data used in model
GDEs: map of GDEs from NC dataset, but no details about assessment. No description of groundwater data. It seems all NC datset GDEs are included as pGDEs.
SMC: They whole section is very vague, not detailed at all. They need to do a better job in explaining different WQ COC's, ISW, groundwater elevation.
CLIMATE CHANGE: CC incorporated into water budget using both 2030 and 2070 CT; rather ambiguous when describing ET. Projected SY not based on water budget
OTHER: PMAs regarding demand reduction, supply augmentation, meter installation all vague. Open ET not mentioned, water exports prohibited, CC identified as driver of undesirable results",,,,GSP ID,41,,,
,,,,,,,GSA Name,Salinas Valley Basin GSA,,,
,,,,,,,Subbasin Name,SALINAS VALLEY - FOREBAY AQUIFER,,,
,,,,,,,Consultant,Montgomery & Associates Water Resource Consultant,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,5552,,,
,,,,,,,DAC Population,17276,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
