Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"They haven't included page number after figure 8-16 in SMC chapter. (after page 8-74), They have refrenced appendix B which is not included, 

Stakeholder: No Tribes identified, DACs are identified as City of Marina and parts of CSU Monterey Bay, Chapter 2 serves as their Communications and Stakeholder Engagement Plan, this plan identifies env stakeholders and DACs and includes general stakehodler engagement opportunities. 
ISW: no ISW map; lack of data used in assessemnt, but plan acknowledges this by clearly identify data gaps and describing pISWs
GDE: the plan included only a mention of five biological communites within the pond GDEs, not other list or inventory of flora and fauna in basin; no mention of endangered/threatened species; lack of assessment due to lack of groundwater data; Data gaps indentified and pGDE mapped and described
CLIMATE CHANGE: 2030 and 2070 CT used for projected buget, but surface budget (inc. precip, ET, surface flow) not included in main text or appendices. Projected SY for each Management Area given based on different future scenarios.
SMC: They have done an okay job in defining different indicators, better and more details are needed specially when for GDE.
PMA: clear and detailed.
OTHER: No mention of OpenET, sort of mentions meter requirements, export markets prohibited within basin. PMAs covered supply augmentation and demand reduction with planned and proposed projects. Coordination with RWQCB through formation of a multi-agency partnership.",,,,GSP ID,42,,,
,,,,,,,GSA Name,Salinas Valley Basin GSA,,,
,,,,,,,Subbasin Name,SALINAS VALLEY - MONTEREY,,,
,,,,,,,Consultant,Montgomery & Associates,Found the name at: Monterey Subbasin GSP Overview powerpoint,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2043,,,
,,,,,,,DAC Population,,"GSP identifies City of Marina and parts of CSU Monterey Bay As DACs, identified through DAC Blocks and Tracts.",,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,
