Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,"ISW: figure included which shows percentage of connection over model period; lack of groundwater and surface water monitoring points in basin; vague analysis and not enough detail about data used in model
GDEs: map of GDEs from NC dataset, but no details about assessment. No description of groundwater data. It seems all NC datset GDEs are included as pGDEs.",,,,GSP ID,43,,,,
,,,,,,,GSA Name,Salinas Valley Basin GSA,,,,
,,,,,,,Subbasin Name,SALINAS VALLEY - UPPER VALLEY AQUIFER,,,,
,,,,,,,Consultant,Montgomery & Associates,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,7390,,,,
,,,,,,,DAC Population,14388,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,
,,,,,,,Point Contact Name,Sara,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Martha,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","no = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"In August 2019, SVBGSA hired the Consensus Building Institute (CBI) to conduct an assessment with URC and DAC community leaders via formal interviews. The purpose of the assessment was to capture insights and recommendations to inform an engagement strategy for URCs and DACs. CBI conducted
14 interviews and summarized findings from the assessment to identify initial strategic steps for work with URCs and DACs for GSP planning and implementation. Based on this work, an initial set of short and middle term actions to complete from January 2021-August 2021 was identified and work has begun on these items during the GSP development period and will be operational for implementation in Fall 2021. The Board of Directors affirmed these short and middle term actions on February 11, 2021, and are intended for focus during implementation of the GSP. Middle and long-term actions with URCs were identified for 2022. The Spectrum of Community to Ownership will be utilized as a guide in further shaping SVBGSA work with URCs and DACs
communities in the Basin in consultation with community leaders. 

Additional activities scoped for engagement of Underrepresented Communities and Disadvantaged Communities include:
• Conduct workshops with partners on importance of water and groundwater sustainability
• Identify URC and DAC concerns and needs for engagement
• Plan listening sessions around GSA milestones
• Coordinate with partner organizations to develop a “resource hub” where people can go
for support
• Identify community allies in groundwater engagement work and bring down barriers for
participation
• Consider particular URC and DAC impacts during routine GSA proceedings
• Convene a working group on domestic water, including URCs and DACs",2021-02-17 00:00:00,"1. DAC's identified? (yes/no): YES, (See Cell 20J)
2. If yes, which level of engagment: Engagement=Consult, Empower, Involve
3. Evidence/strategies listed for level of engagement:

This GSP has documented by far the best plan for DAC engagement during the development of the GSP. It not onyly highlights DACs but also highlights Underrepresented Communities, taking the time and resources to conduct an initial assessment and developing targeted engagement for DAC to empower and involve meaningfully. ",
Martha,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"The Advisory Committee, at this time, does not include representation from:
• Tribes
• Federal government


The Subbasin also does not contain any tribal lands (RWMG, 2018).",,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:",
