Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"StakeHolder: No federally recogized tribes identified within the basin. The idenification of all other stakeholders is extremely vague and lacks detail on the engagement plan. Although there is a small population of DACs within the Basin, it seems that the GSP has failed to address their presence in the basin, does not even attempt to map or even include the DAC language in their GSP. 
ISW: the ISW map lacks detail and clarity; no groundwater data used in assessment; the shallow alluvium is not considered principal; data gaps were not clearly identified
GDE: Good inventory of flora and fauna; clear description of methods used to characterize GDEs; lack of description of groundwater data and only 1 year used; data gaps were somewhat identified and pGDEs were described and mapped
CC: 2030 and 2070 CT used to incorporate precip, ET (including native), and streamflow using numerical model. Projected SY has yet to be estimated, but basin yield was given based on each climate scenario.
SMC: They have done a decent job in SMC section, they do have data gaps, however they address them.
PMA: Very clearly written, no recharge project to achieve sustainability. 
Other: Satellite GW extraction estimation mentioned, water market to be implemented, meters to be required. PMAs addressed demand reduction through planned management actions, and supply augmentation through proposed projects. ",,,,GSP ID,44,,,
,,,,,,,GSA Name,San Antonio Basin GSA,,,
,,,,,,,Subbasin Name,SAN ANTONIO CREEK VALLEY,,,
,,,,,,,Consultant,"GSI Water Solutions, Inc.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,3975,,,
,,,,,,,DAC Population,196,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,"SGMA mandates that a GSA establish and maintain a list of persons interested in receiving
notices regarding plan preparation, meeting announcements, and availability of draft plans, maps, and
other relevant documents. (Water Code § 10723.4.) A list of interested persons wishing to receive
information and/or participate has been compiled and will be updated and maintained throughout
the GSP development phases. The initial list of stakeholders and interested parties include, but are not
limited to, the following:
Disadvantaged communities and environmental justice interests",Appendix C / Page 489 of 1050,"1. DAC's identified? (yes/no): NO, DACs are mentioned in the inital list of stakeholders  but not mentioned again throughout the rest of the GSP. 
2. If yes, which level of engagment: NO Engagement
3. Evidence/strategies listed for level of engagement:
"
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,California Native American tribes (note: there are no presently known California Native American tribes within the Basin),Appendix C / Page 489 of 1050,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
