Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: Environmental users were no specifically identified, only vaguely listed as beneficial users, domestic wells were mapped by depth and location, water sources and population of DACs were identified. 
ISW: no ISW map; unclear conclusions; model used; data gaps identified 
GDE: No description of flora or fuana; no critical species; clear description of methods used to assess NC dataset GDEs; lack of detail on spatial groundwater data in relation to GDEs; GDEs removed if NDVI/NDMI trends matched precipitation trends; 
CC: GSP used 2070 CT to account for CC, incorporating precip, ET (native separated out) and streamflow. Projected sustainable yield based on future baseline conditions rather than future climate change conditions.
SMC: Missing details regarding benefits to GDE and DAC, they have done a decent job on domestic users
PMA: Detailed and clearly stated. No benefit To GDE or Environmental users
Other: No reference to OpenET; upgrades to 75k (home, not well) meters planned; GW credit trading program proposed. Planned projects addressed supply augmentation and proposed management actions addressed demand reduction. Coordination with RWQCB referenced.",,,,GSP ID,47,,,
,,,,,,,GSA Name,East Turlock Subbasin GSA and West Turlock Subbasin GSA,,,
,,,,,,,Subbasin Name,SAN JOAQUIN VALLEY - TURLOCK,,,
,,,,,,,Consultant,TODD Groundwater,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,9036,,,
,,,,,,,DAC Population,232530,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,1627,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"3.1.3 Disadvantaged Areas 
The percentage, by population, of disadvantaged areas in the Turlock Subbasin is 82 percent, as described previously to DWR in Attachment 6 of the Turlock Subbasin’s submittal to DWR for a Round 3 SGMA Grant. Disadvantaged areas (DAs) refers to the collective group of severely disadvantaged communities (SDACs), disadvantaged communities (DACs) and economically distressed areas (EDAs). The GSP is beneficial in supporting these communities with a reliable and sustainable groundwater supply. These communities are listed and categorized in Table 3-1 and shown geographically in Figure 3-1. Additionally, a management action described in Chapter 8 incorporates a well mitigation program for drinking water supplies in DACs. 

3.2 OPPORTUNITIES FOR ENGAGEMENT AND INPUT The GSAs aim to provide open and transparent communication to Turlock Subbasin beneficial users by holding several types of public meeting opportunities during GSP development and implementation, as well as providing other engagement opportunities and ways to submit public comments. Table 3-2 includes a summary of various public outreach and engagement opportunities throughout GSP development.

3.2.1 Public Meetings A myriad of public meetings were held throughout GSP development, including meetings of governing and advisory bodies that were open to the public as well as technical and community workshops aimed specifically at sharing information with and gathering input from stakeholders.  took the form of physical, in-person meetings or as virtual meetings in compliance with Governor Newsom’s Executive Orders during the COVID-19 pandemic as well as AB 361 signed into law in September 2021. All of these meetings, and their associated documents, are archived on the Turlock Groundwater Calendar page on the Subbasin’s website. Further, Figure 3-2 provides a visual description of such meetings. 
 Groundwater Sustainability Agency Meetings. 
The WTSGSA and ETSGSA Board of Directors each held regular public meetings, beginning in February 2017. These meetings included presentations regarding the development of the GSP as well as decisions on coordinated SGMA requirements. Meetings were held at least quarterly and as frequent as monthly. GSA meetings prominently feature public comment periods for non-agenda items, and GSA leadership presiding over meetings are intentional to seek public comment following discussion regarding specific agenda items. Presentations and other supporting documents for GSA meetings are archived online, and WTSGSA meetings were recorded and posted on the Turlock Groundwater YouTube channel. 
 Technical Advisory Committee Meetings. 
One of the primary ways the GSAs considered the beneficial uses and users of groundwater was through regular meetings of Technical Advisory Committees (TACs) to aid in developing and implementing this GSP. The GSAs each utilize a TAC that advises its respective GSA Board. The TACs can meet individually, but often meet in a combined venue to jointly host meetings and enhance coordination efforts. The first TAC meetings were held in May 2017. Meetings have generally occurred on a monthly basis throughout the GSP development process (see List of Meetings spreadsheet in Appendix 3-7). The TACs, individually or collectively, met a total of 97 times during the GSP development process from April 2017 through November 15, 2021. TAC meetings prominently feature public comment periods for non-agenda items, and TAC leadership presiding over meetings are intentional to seek public comment following discussion regarding specific agenda items. Additionally, combined meetings of the Turlock Subbasin GSAs conducted via virtual meeting platforms often featured pre-meeting presentation slides prior to the formal start of the meetings. These slides were designed to take advantage of the 15 minutes prior to the each meeting’s start time when many stakeholders joined the meeting early. These informational slides were on a repetitive loop until the meetings began. Specific content was updated regularly, but slides often advertised the release of draft GSP chapters for comment, ways to provide comment, ways to contact and connect with Subbasin representatives, the value of visiting the website, signing up for our Interested Parties List, a map of the Subbasin and its two GSAs, and upcoming Subbasin groundwater meetings. Further, technical meeting presentations and other supporting documents for TACs meetings are archived online. TACs meetings were recorded and posted on the Turlock Groundwater YouTube channel.
 GSP Technical Workshops. 
In addition to monthly joint TAC meetings, five Subbasin-wide Technical Workshops were hosted from 2018 to 2020, each focusing on specific components of the GSP, such as Plan Area and Basin Setting, Sustainability Criteria, Undesirable Results, and other relevant topics. These workshops were designed to initially introduce the technical nature of GSP components to stakeholders and local agencies, as well as acquire feedback from stakeholders. They included presentations by the GSP consultant team that focused on the technical aspects of GSP preparation. Workshops were open to the public and were attended by TAC members, GSA members, and Subbasin stakeholders. Materials from these Technical Workshops are available online on the Turlock Groundwater website’s Workshops page. It is important to note that following the February 27, 2020 Technical Workshop, the venue for these types of technical workshops informally transitioned to be held during TAC meetings, rather than during a standalone workshop. Meetings of the TACs provided regular opportunity to discuss technical information and GSP development with TAC members and other groundwater stakeholders, so the need for formal Technical Workshops subsided. 
 GSP Community Workshops. 
Five Subbasin-wide Community Workshops were held from 2018 to 2020, focusing on educating the Turlock Subbasin community about SGMA and the GSP. The Community Workshops were also used to solicit feedback related to water quality and availability, environmental and economic impacts, and GSP implementation and adaptive management strategies. Meeting locations and times varied in order to accommodate attendance by a variety of beneficial user groups. Spanish translation was available. The inperson workshops were also live-streamed and recorded, and summaries of the meetings were posted online so that anyone unable to attend the meeting in person could remain informed about GSP development. Due to the COVID-19 pandemic, Community Workshops transitioned to an entirely virtual format in Spring 2020. ETSGSA plans to hold four Community Workshops to review the GSP with local community stakeholders in November and December 2021 prior to adoption. Materials from all Community Workshops are available online on the Turlock Groundwater website’s Workshops page. 
 Meetings of GSA Member Agencies. 
By association, meetings of the respected governing bodies of the GSA member agencies often afforded opportunities for updates, in various forms, on SGMA compliance and GSP development. In total, there are 15 member agencies (13 members and two associate members) comprising the two Subbasin GSAs. These member agencies not only discussed SGMA compliance and GSP development as a matter of business on occasion, but these agencies also sought out additional ways to inform their customers about SGMA through flyers, bill inserts and digital media. Member agencies are listed in Section 3.3. 
 Adjacent Subbasin Coordination Meetings. 
The Turlock Subbasin is bordered by three adjacent subbasins: Merced, Delta-Mendota, and Modesto. The need for interbasin coordination resulted in four Adjacent Subbasin Coordination meetings from 2018 to 2020, wherein TAC members from each subbasin discussed the technical data, analyses, and surface water and groundwater modeling that would support interbasin coordination needs in the context of SGMA. In addition to holding Coordination Meetings, ongoing coordination with adjacent subbasins occurred through communication with member agencies (and their representatives) which extend into all three neighboring subbasins. Additional detail is provided in Section 3.4. Materials from these interbasin coordination meetings are available online on the Turlock Groundwater website’s Workshops page.
","Chapter 3, Page 9 &  13-14","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Inform, Consult, 
3. Evidence/strategies listed for level of engagement:"
