Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,GSP ID,4,,,,
,,,,,,,GSA Name,South American GSAs,,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - SOUTH AMERICAN,,,,
,,,,,,,Consultant,GEI Consultants,,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,11776,,,,
,,,,,,,DAC Population,423657,,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,"pg 2-10, 2.1.2.5",,
,,,,,,,Acreage of Managed Wetlands,1974,,,,
,,,,,,,Point Contact Name,Sara,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
