Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,GSP ID,52,,,,
,,,,,,,GSA Name,San Pasqual Valley GSA,,,,
,,,,,,,Subbasin Name,SAN PASQUAL VALLEY,,,,
,,,,,,,Consultant,"Woodward & Curran, Jacobs",,,,
,,,,,,,GSP version,Draft,,,,
,,,,,,,Acreage of GDEs per basin,897,,,,
,,,,,,,DAC Population,0,,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,
,,,,,,,Acreage of Managed Wetlands,,,,,
,,,,,,,Point Contact Name,Martha,,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Not Applicable,,,"1. DAC's identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

NOT APPLICABLE",
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Yes,"The purpose of the SPV GSP Advisory Committee is to provide input and feedback on GSP development. The Advisory Committee is composed of the following nine member types as approved by the SPV GSA, and represent four stakeholder categories (Table 1-2). 
&&&
Table 1-2 ""Native American Tribe: San Pasqual Tribe""
&&&
During GSP development, Advisory Committee meetings are held quarterly and are open to thepublic. The Core Team circulates Advisory Committee meeting announcements to all stakeholders via its interested parties email list. Advisory Committee meeting agendas and materials are uploaded to the website in advance of meetings. During closure of government facilities due to the coronavirus disease 2019 (COVID-19) pandemic, Advisory Committee meetings are being held virtually and recorded for later upload to the website.","Section 1.4.5, page 1-7","1. Tribes identified? (yes/no): YES, San Pasqual Tribe
2. If yes, which level of engagment:  Engagement= Inform & Involve
3. Evidence/strategies listed for level of engagement:

The San Pasqual Tribe is one of four stakeholder categories that are represented on the Advisory Committee. ",
