Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: good, detailed assessment of ISWs. Data used in assessment is described well and spatial and temporal varation is addressed. Data gaps are identified and pISWs are included.
GDE: flora and fauna are described and there are maps of GDEs. The plan provides a very thorough overview of the process for including/removing GDE polygons, including data used, but there is confusion surrounding the groundwater data used. Only 1 year of groundwater data was used to verify GDEs. Data gaps not directly identifed in GDE section and pGDEs not described well.
CLIMATE CHANGE: Good, detailed analysis of inputs/outputs of water budget with CC incorporated. Only used one CC change factor (CT), but based projected SY on projected WB.
OTHER: PMA section was not very thorough; many PMAs were just brief descriptions than actual plans with expected benefits. No mention of Open ET, water markets
PMA: PMA section is very vague, they haven't explained how they will implement the plans, or what stage the plans are currently at.
SMC: The groundwater quality section they have done a good job mentioning all COC's but have not gone into detail regarding MT, MO and MCL. However the focus of their ISW was GDE since GDE have been under stress during drought.
Stakeholders: Communications & Engagement plan lacks details, although stakeholders are identified by type, there is no specific orgs, agencies, groups names provided, overall a poor assessment of stakeholders",,,,GSP ID,53,,,
,,,,,,,GSA Name,Santa Clarita Valley GSA,,,
,,,,,,,Subbasin Name,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST,,,
,,,,,,,Consultant,"GSI Water Solutions, Inc.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,2988,,,
,,,,,,,DAC Population,>0,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
