Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: There are no federally recognized Tribes in the Plan Area, DACs and Environmental Stakeholders have been identified but no targetted engagement or outreach was documented for either. Communications Plan mostly provides engagement opent to all stakeholders. Well depth or minimum well depth for domestic wells are not included, neither is DAC population. 
ISW: no map and disorganized presentation of ISW data/information throught appendix; general conclusions of ISWs but lack of detail; data gaps indentified in monitoring network section
GDE: included description of flora, fauna, and endangered/threatend species; map of GDEs; use of NC dataset, groundwater data, and aerial images; data gaps vaguely and unclearly identified; uncertain GDEs were not included on final pGDE map
CC: Odd approach to climate change; many studies referenced to incorporate CC, but the final methods used are not clearly specified. Native veg not accounted for, but precip, ET, and stream flow are accounted for. Projected SY not based on projected budget.
SMC: They have done a decent job explaining different indicators and presenting the data they have. They have data gaps regarding GDE and ISW. Their MO and UR is not explained for beneficial users.
PMA: The PMA section is small, they have listed only the projects through EBMUD EBP
Other: No reference to water markets, satellite data for GW extraction estimates proosed, meters to be implemented. PMAs did not address demand reduction but did address supply augmentaiton. CC no identified as a driver of UR; coordination with RWQCB discussed.",,,,GSP ID,54,,,
,,,,,,,GSA Name,East Bay Municipal Utility District,,,
,,,,,,,Subbasin Name,SANTA CLARA VALLEY - EAST BAY PLAIN,,,
,,,,,,,Consultant,"LUHDORFF & SCALMANINI CONSULTING ENGINEERS, GEOSYNTEC CONSULTANTS,
BROWN AND CALDWELL ENVIRONMENTAL SCIENCE ASSOCIATES, DR. JEAN MORAN, FARALLON GEOGRAPHICS
",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,717,,,
,,,,,,,DAC Population,27237,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"1.3.1.5 Disadvantaged Communities Disadvantaged communities comprise a large percentage of the total land area within the EBP Subbasin. Disadvantaged communities (DAC) occur over a land area equal to 14% and severely disadvantaged communities (SDAC) cover a land area total of 22.3%, together comprising 36.2% of the overall land area within the EBP Subbasin. The distribution of DAC and SDAC areas within the EBP Subbasin shows these areas are relatively well distributed between Richmond in the north and the northern portion of San Leandro in the south, with more limited DAC and SDAC areas south of central San Leandro (Figure 1-1). The DAC and SDAC areas are located within EBMUD and Hayward service areas with access to imported surface water supply. EBMUD also offers a Customer Assistance Program to help pay a portion of the water bill for qualified low-income residential customers and eligible homeless shelters.

&&

Human Right to Water: Disadvanataged Communities, Small Community Systems, Environmental Justice Groups: Inform and involve to provide a safe and secure groundwater supplies to DACs: Enviromental Justice Coalition for Water Representative: Nahal Ghoghaie

&&

SGMA Web Portal Dedicated SGMA webpages for each GSA are actively updated and accessible at www.ebmud.com/sgma and https://www.hayward‐ca.gov/content/sustainable‐ groundwater‐management. The webpages are designed to provide background information, maps, documents, status updates, useful links, contact information and a means of communicating between GSAs and the public. 
Social Media Platforms EBMUD uses Twitter, Nextdoor and as of March 2018, Facebook social media platforms to disseminate information to the public. Hayward utilizes Twitter, Facebook and electronic newsletters as communication vehicles. Both GSAs will use existing social media platforms, as well as potential new platforms as they become available, to update followers on SGMA compliance activities as appropriate. Public Hearings Notices of public hearings are published in local newspapers informing the public on meeting information, subject, and how to provide comments prior to decision‐making. 
Individual Meetings Upon request, GSA staff are available to meet with interested parties to discuss the SGMA compliance activities or receive input. 
Stakeholder Outreach Meetings Currently, stakeholder outreach meetings are held twice annually in the first and third quarters of calendar years. Meeting invitations are sent out to individuals and entities on the stakeholder mailing list, and information is also posted on the websites and social media platforms. These meetings will cover a broad range of agenda items including GSP development updates, technical studies, environmental topics, and any stakeholder interests. If necessary, follow‐up meetings could be scheduled to focus particular topics. 
Technical Advisory Committee Meetings The Technical Advisory Committee is a working group which will review technical work products and meet more frequently. The meetings may be conducted through web conferencing as well as in‐person meetings. 
Inter‐basin Working Group (IWG) Meetings Members of IWG can participate in regularly scheduled stakeholders meetings as well as individual meetings with GSAs as necessary. In addition, IWG meetings will be held at regular intervals to provide updates and coordinate with members. 
EBMUD Board of Directors Meeting The EBMUD Board of Directors generally meets on the second and fourth Tuesday of the month. The Board’s meeting agenda is published in advance and includes a public comment item where members of public can provide comments on EBMUD’s business. 
City of Hayward City Council Meeting The City Council meets the first, third and fourth Tuesdays of each month at 7 p.m. in Council Chambers, 2nd Floor of 777 B Street, Hayward, CA 94541. The City Council meeting agenda includes a public comment period when members of the public can provide comments on matters related to the City.

&

Public Engagement Opportunities Several meetings offered opportunities for public engagement while the GSP was being developed: 
• GSA Board meetings: Both GSAs in the EBP Subbasin held regular public meetings, generally on a monthly schedule and generally in conjunction with standing Board and City Council meetings. 
• General stakeholder meetings: Meetings were held throughout GSP development to enable Subbasin stakeholders and the public to learn about the SGMA process and Plan components, receive updates about planning activities, and provide input on GSP development. These meetings often included presentations by the Consultants about technical aspects of GSP preparation and topics such as the Subbasin setting, water budgets, and undesirable results. 
• SGMA webpage: Each GSA developed and maintained interactive webpages providing SGMA compliance and GSP development information and updates. Interested parties can subscribe to a mailing list to be notified of updates and meeting information. 
• Email/Telephone: GSAs’ SGMA staff are available to reach via email and telephone on demand. In addition to the regular GSA Board meetings, the GSP was discussed at the public meetings listed in Appendix 2.B.c. Figure 2-8a illustrates a typical GSP public live event held before the onset of the COVID-19 pandemic; subsequent GSP meetings and events were held virtually using Microsoft Teams or Zoom (Figure 2-8b).","1-7
Appendix 2.B.a , Appendix C: Stakeholder List
Appendix 2.B.a / 12
2-18","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform & Consult
3. Evidence/strategies listed for level of engagement: 
DACs are identified and mapped in the basin. The GSP also documents that a member of the Environmental Justice Coalition for Water is on the stakeholder list. No further detail on how DACs are specifically targetted, mostly includes opporutnities for stakeholder engagement open to all stakeholders. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"California Native American Tribes
 None known in the GSA area

Hayward is not aware of any California Native American Tribes within the GSA area that utilize groundwater. If such use is discovered, the City will communicate with the tribe during the development and implementation of the GSP.

Tribes • Tribal Government Inform, involve and consult with tribal government (See engagement with Tribal Governments Guidance Document) EBMUD - - info@homelandforlytton.com Lytton Band of Pomo Indians","Appendix 1 (Page 38 of 185)
Appendix 2.B.a , Appendix C: Stakeholder List","1. Tribes identified? (yes/no): 
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
