Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: DACs, Tribes, and Environmental stakeholders are all present in the basin, although no explicit DAC map is provided, DACs were identified by name. DACs, Tribes and Environmental stakeholders all have at least one representative on the GSP advisory Board, DACs more indirectly as they have arepresentatives from the city of Santa Rosa (designated a DAC). 
ISW: map only presents gaining streams; the plan used a scoring criteria which likely left out many possible ISW losing reaches; data gaps identified in moniroting network; no map ro description of pISWs
GDE: flora and fauna brielfly mentioned and critical species acknowledged; Sonoma CO Veg map used to map vegetation GDEs but did not include the oringial map with the final GDE map - difficult to know what was included or exlcuded; groundwater data used but mostly coming from 2015 and 2016 only; figure 3-19 is referenced as presenting pGDEs, but no description
CC: GSP used RCP 8.5 and the HadGEM2-ES GCM to project climate change conditions, incorporating precip, ET (native not separated), and surface flow (not imported). Projected SY was based on projected climate conditions and acknowledged the need for PMAs to address the overdraft gap.
SMC: They have done a decent job, they are still missing details and have data gaps regarding ISW and GDE.
PMA: They don't have many plans, but they did a good job explaining what their projects, however more details are needed for benefits to beneficial users.(SMC section is same as Sonoma Valley)
Other: No mention of OpenET, mentioned improving metering standards, very vague reference to water markets. PMAs addressed demand reduction with a planned project and supply augmentation with two proposed projects. Coordination with RWQCB discussed.",,,,GSP ID,56,,,
,,,,,,,GSA Name,Santa Rosa Plain GSA,,,
,,,,,,,Subbasin Name,SANTA ROSA VALLEY - SANTA ROSA PLAIN,,,
,,,,,,,Consultant,"Sonoma Water, Parker Groundwater, West Yost, Sacramento State University Consensus and Collaboration Program, Montgomery & Associates, Jacobs",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,1184,,,
,,,,,,,DAC Population,566,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
