Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: poor ISW assessment; no map; no groundwater data used; data gaps were identified (NOTE: unsure about how the plan handled the shallow alluvium below the Santa Ynez River)
GDE: flora and fauna are described as well as endangered/threatened species; lack of groundwater description used in assessment; data gaps were somewhat identified; pGDEs mapped and described
SMC: The language is vague and confusing. They haven't done any evaluation for MO.
CLIMATE CHANGE: Numerical model was used to incororate precip, ET (including native veg), and surface flow nto 2030 and 2070 CT scenarios (only scenario used). No projected SY, and current/historic SY are based on historic data
PMA: Although they have tried to have details on implementation of the projects, however the language is vague and they haven't gone into detail regarding benefits to DAC, drinking water users or GDE.
OTHER: No mention of Open ET, possible recycled water market, meters to be required by 2022. PMAs addresseed balancing budget mostly through demand reduction.
Stakeholders: Lacks detail in laying out outreach plan during GSP implementation, does not explicity map DACs. Based on Meagan's spatial anayalysis, Tribes are present in the area and the GSP states that they are only present in the Eastern GSA location. ",,,,GSP ID,57,,,
,,,,,,,GSA Name,Santa Ynez River Valley Basin Western Management Area GSA,,,
,,,,,,,Subbasin Name,SANTA YNEZ RIVER VALLEY,,,
,,,,,,,Consultant,"GeoSyntec Consultants, Dudek, Stetson Engineers Inc,.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,12814,,,
,,,,,,,DAC Population,21756,,,
,,,,,,,Tribal population,317,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Yes,"Human Right to Water Domestic water users Disadvantaged communities Inform and involve to provide safe and secure groundwater supplies to DACs (Table 1c..1-1)

&&

In accordance with Section 10723.2 and Section 10723.8 (a)(4) of the Sustainable Groundwater Management Act (SGMA), the following parties have or will be contacted to determine how best to consider and protect their interests throughout the formation of the Groundwater Sustainable Agency (GSA), development of a GSP, and implementation of the Groundwater Sustainability Plan (GSP). These interests include, but are not limited to the following:

Disadvantaged Communities: Portions of the City of Lompoc are considered Disadvantaged Communities by the Department of Water Resources (DWR). Residents of the City of Lompoc were invited to apply to become a member of the WMA CAG. The residents within the DAC are represented on the WMA GSA by the City of Lompoc. 

&&

5.3 Citizen Advisory Group Representation The purpose of a CAG is to provide additional public input to the Committee, representative of various categories of groundwater uses and users within the WMA, as set forth by the SGMA. In addition to providing their individual perspectives, CAG members serve in respective capacities, representing different categories of groundwater uses and users in the WMA. CAG members are expected to work collaboratively with all of the following: other CAG members, at-large stakeholders, members of the public, the Committee, staff of member agencies of the WMA GSA, other GSAs within the SYRVGB, related agencies, and agency staff members. At various points during development of the GSP, the CAG may be asked to provide perspective on elements or sections of the GSP and on the final draft of the GSP.","1c-2

Appendix B / 16, 10","1. DAC's identified? (yes/no): YES, the city of LOMPOC is considered a DAC
2. If yes, which level of engagment: Engagement= Inform, Involve, Collaborate
3. Evidence/strategies listed for level of engagement:

GSP includes DACs as beneficial users in TAble 1c.1-1, The GSP explicitly states that DACs within the subbasin are represented on the GSA by the City of Lompoc, a designated DAC. More information is needed if there is any Lompoc resident currently representing on CAG. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"In accordance with Section 10723.2 and Section 10723.8 (a)(4) of the Sustainable Groundwater Management Act (SGMA), the following parties have or will be contacted to determine how best to consider and protect their interests throughout the formation of the Groundwater Sustainable Agency (GSA), development of a GSP, and implementation of the Groundwater Sustainability Plan (GSP). These interests include, but are not limited to the following:

California Native American tribes: None. (Santa Ynez Band of Chumash Indians are in the Eastern Management Area [EMA]) ",Appendix B / 16,"1. Tribes identified? (yes/no): 
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

"
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"In accordance with Section 10723.2 and Section 10723.8 (a)(4) of the Sustainable Groundwater Management Act (SGMA), the following parties have or will be contacted to determine how best to consider and protect their interests throughout the formation of the Groundwater Sustainable Agency (GSA), development of a GSP, and implementation of the Groundwater Sustainability Plan (GSP). These interests include, but are not limited to the following: 

Environmental Users of Groundwater: The California Department of Fish and Wildlife was added to the list of interested parties and was invited to apply to become a member of the WMA GSA CAG.

5.3 Citizen Advisory Group Representation The purpose of a CAG is to provide additional public input to the Committee, representative of various categories of groundwater uses and users within the WMA, as set forth by the SGMA. In addition to providing their individual perspectives, CAG members serve in respective capacities, representing different categories of groundwater uses and users in the WMA. CAG members are expected to work collaboratively with all of the following: other CAG members, at-large stakeholders, members of the public, the Committee, staff of member agencies of the WMA GSA, other GSAs within the SYRVGB, related agencies, and agency staff members. At various points during development of the GSP, the CAG may be asked to provide perspective on elements or sections of the GSP and on the final draft of the GSP.","Appendix B / 16, 10 ","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Engagement=Inform , Involve
3. Evidence/strategies listed for level of engagement:

GSP includes environmental users as stakeholders but does not include targeted engagement. The GSP includes brief language of other engagement opportunities through the CAG board but no further details are provided. More information is needed to know if the Deperatment of Fish and Wilflife is on the CAG represneting environmental interests. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",No,Phase 4: Implementation and Reporting  SGMA requires assessments and re-evaluation of the GSP at least every 5 years.  GSA’s must provide public notice and hold public meetings prior to amending the GSP (Section 10730).  Public notice is required before the GSA imposes or increases fees (Section 10730). The GSA must also follow other applicable laws and regulations associated with the assessment of fees including the requirements of Proposition 218.,Appendx 1c.C,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for DACs?  ( yes/no)
3. What level of outreach engagement? 

Not many details are provided related to outreach during implementation for stakeholders except for the mention of public notices being released prior to amending the adopted GSP. More information is needed. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? 

"
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",No,Phase 4: Implementation and Reporting  SGMA requires assessments and re-evaluation of the GSP at least every 5 years.  GSA’s must provide public notice and hold public meetings prior to amending the GSP (Section 10730).  Public notice is required before the GSA imposes or increases fees (Section 10730). The GSA must also follow other applicable laws and regulations associated with the assessment of fees including the requirements of Proposition 218.,Appendx 1c.C,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Environmental stakeholders?  (yes/no)
3. What level of outreach engagement? 

Not many details are provided related to outreach during implementation for stakeholders except for the mention of public notices being released prior to amending the adopted GSP. More information is needed. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,"In February 2020, the WMA GSA prepared an Outreach and Engagement Plan (OEP) to provide individual stakeholders, stakeholder organizations, and other interested parties an opportunity to be involved in the development and evaluation of this GSP. The OEP, included as Appendix 1c-C of this GSP, describes the steps the WMA GSA has taken, and will continue to take, to encourage public involvement during the development and implementation phases of this GSP",Appendix1c-1,Appendix 1c-C is the communications & engagement plan. 
Stakeholder,,,DACs,1,Does the GSP identify each DAC by name and location on a map? ,"No= does not identify DACs by name, does not identify DAC locations on a map
Somewhat=identifies DAC location on a map or DAC by name (one or the other, not both)
Yes=Identifies DAC location on a map and identifies them by name(re: DAC name-- in text or map))","Disadvantaged Communit*, DAC",Yes,"The City of Lompoc is a disadvantaged community (DAC) (DWR 2021), and DACs in the WMA are discussed in Section 1d.6-1. In 2018, the region was awarded almost $900,000 in direct funds to DACs, and the region applied for further implementation funds (up to $6.3 million) in spring 2019

&&

As defined in California Health and Safety Code, Section 116275, disadvantaged communities (DAC) are Census geographies having less than 80% of the statewide annual median household income. Based on 2018 DAC mapping at the Census Block Group level, approximately 27% (23,512.1 acres) of the Plan Area is considered disadvantaged (median household income of less than $56,982) and 1% (836.9 acres) is considered severely disadvantaged (median household income of less than $42,737). The areas identifiedn as disadvantaged include portions of the City of Lompoc and the rural area to the east of the City. The areas identified as severely disadvantaged are within the City of Lompoc (DWR 2021).","1d-23
1d-41","1. Location on the map? (yes/no) YES but is not labeled as DAC map or specifically allude to LOmpoc being a dac within the map. 
2. Identified by name? (yes/no) YES, mostly identified as the city of LOMPOC
3. DAC places, tracks, or block data used in map?
Census Blocks were used in mapping. "
Stakeholder,,,Tribes,1,Are tribal lands identified and mapped in the basin?,"No=does not identify Tribal lands on a map, or references in the text
Somewhat=Tribal lands are identified in text but not mapped OR Tribal lands are mapped but not identified in text
Yes=Tribal lands are identified in text and mapped","tribal, tribe",Not Applicable,,,"1. Tribal lands identified? (yes/no)
2. Tribal lands mapped? (yes/no)


"
Stakeholder,,,DACs,2,Does the GSP describe the size of the population in each DAC?,"No=no reference to DAC population
Somewhat= Includes a population map and references DAC seperately
Yes= DAC population is explicitly mentioned or mapped","Disadvantaged Communit*, DAC, population",Somewhat,,Figure 1d.6-2,"1. Does the GSP document the size of the population for each DAC?
A population density map is included which includes the city of LOMPOC that has already been established as a DAC."
Stakeholder,,,DACs,2,"Does the GSP map minimum well depth, or depth range, of domestic wells?","No= no map and no reference of well depth, depth range of domestic wells in text; 
Map of domestic wells (point or density map of DOMESTIC wells) but no depth details in map or text
Somewhat= no map but range of depths and reference to number of domestic wells
Yes= map with DOMESTIC depths (density points or data, either in text or in map)",domestic well,No,,,"1. Does the map include depth by location?
No mention of well depths"
Stakeholder,,,DACs,2,Does the GSP map the density of domestic wells in the basin?,"No= no map of domestic wells, reference of domestic well density in text but no map provided, or no reference at all 
Yes= density map of Domestic wells
 ",domestic well,Yes,"Figure 1d.3-1 shows the density distribution by square mile (section) for wells for agricultural use, Figure 1d.3-2 shows the same for domestic wells, and Figure 1d.3-3 shows the same for municipal wells.","Figure 1d.3-2
1d-15","1. How are domestic wells mapped (density/point/none)?
Domestic wells are mapped using density map. "
