Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"
ISW: poor ISW assessment; no map; no groundwater data used; data gaps were identified (NOTE: unsure about how the plan handled the shallow alluvium below the Santa Ynez River)
GDE: flora and fauna in the basin are not described other than a couple of endangered/threatened species, which the plan does not think they rely on gw; lack of groundwater description used in assessment; data gaps were somewhat identified; pGDEs mapped and described
SMC: Very vague! the UR and MT, seems extreme and more evaluation on MO is needed.
CLIMATE CHANGE: Used numerical model to incorporate precip, ET, and streamflow into 2030 and 2070 CT scenarios. Sustainable yield estimate based off historic period (not adjusted).
PMA: Although they have tried to have details on implementation of the projects, however the language is vague and they haven't gone into detail regarding benefits to DAC, drinking water users or GDE.
OTHER: No mention of Open ET or water markets, plans on requiring meters by 2022. PMAs address demand reduction (metering and conservation efforts) and supply augmentation (increased imports/stormwater recharge) to balance water budget.
Stakeholders: Tribes are not present within the boundaries of the Central Basin, the only stakeholders present would be enviornmental stakeholders and DACs but DACs are not mapped.. Focuses more on  GSP development than implementation. 
                        
                        
                        
                        
                        
                        
                        
                        
                        ",,,,GSP ID,58,,,
,,,,,,,GSA Name,Santa Ynez River Valley Basin Central Management Area GSA,.,,
,,,,,,,Subbasin Name,SANTA YNEZ RIVER VALLEY,,,
,,,,,,,Consultant,"GeoSyntec Consultants, Dudek, Stetson Engineers Inc,.",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,12814,,,
,,,,,,,DAC Population,21756,,,
,,,,,,,Tribal population,317,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Human Right to Water Domestic water users, Disadvantaged communities
Inform and involve to provide safe and secure groundwater supplies to DACs

&&

The beneficial uses and users in the CMA Plan Area include, but are not limited to, the following: (1) holders of overlying groundwater rights; (2) municipal, domestic and agricultural well operators; (3) public water systems; (4) local land use planning agencies; (5) environmental users of groundwater; (6) surface water users; (7) federal government; (8) disadvantaged communities; and (9) entities listed in SGMA (CWC Section 10927) that are monitoring groundwater elevations in all or part of the CMA managed by the GSA.

&&

As defined in California Health and Safety Code, Section 116275, disadvantaged communities (DAC) are Census geographies having less than 80% of the statewide annual median household income. Based on 2018 DAC mapping at the Census Block Group level, approximately 14% (2,988.6 acres) of the Plan Area is considered disadvantaged (median household income of less than $56,982). The portion of the Plan Area identified as disadvantaged consists of unincorporated rural land in the western part of the CMA (DWR 2021b).

&&

1c.1-2 Citizens Advisory Group As part of public outreach and communication, the CMA GSA Committee created the Citizens Advisory Group (CAG) to provide the GSA focused public input from representatives of different categories of groundwater uses and users in the CMA. CAG members are members of the public who volunteered to participate in reviewing sections of the Draft GSP and other materials produced by the CMA GSA. Members of the community were invited to apply to the CAG. An ad-hoc selection committee reviewed applicants and made a recommendation to  the CMA GSA Committee. The CMA GSA Committee considered the recommendations and then appointed a slate of members to the CAG. The CAG membership reflects a diversity of interests and different types of groundwater uses and users in the CMA. As requested by the Committee, the CAG provides input to the GSA by reviewing sections of the GSP and other materials and providing comment for CMA GSA consideration. The CMA GSA member agency staff organized and facilitated the CAG meetings. CMA CAG members reviewed the following documents:  Outreach and Engagement Plan;  Data Management Plan;  Subsurface Three-Dimensional Geology Technical Memorandum;  Hydrogeologic Conceptual Model;  Groundwater Conditions;  Numeric Groundwater Model;  Water Budgets;  Sustainability Management Criteria;  Monitoring Network. As with the CMA GSA committee meetings, CMA CAG meetings were convened during the SARS-CoV-2 pandemic via phone and video teleconference. Appendix 1c-A includes a list of meeting dates and topics for the CMA CAG. Appendix 1c-B includes the reference Proclamations, Executive Orders, Health Order, and Health Officer Orders. 1c.1-3 Newsletters and Press Releases The three management areas of the Santa Ynez River Valley Groundwater Basin (Basin or SYRVGB) coordinated in creating newsletters and press releases to notify the public about the development of the GSP throughout the SYRVGB. Copies of the newsletters and press releases created to date are included as Appendix 1c-D

Newsletters are one-page documents about the SYRVGB, the CMA GSA, and CMA GSP developments. The newsletters were distributed in both English and Spanish. Translation services were provided by DWR’s Written Translation Service. The newsletters were distributed in member agency utility bills, e-mailed to interested parties, and posted on the SGMA website for the Basin (below, section 1c.1-4). Press releases were also produced and sent to local media organizations about specific topics. As an example, one such press release reported on helicopter flights that were used as part of the Aerial Electromagnetic Method (AEM) survey in November 2020. 1c.1-4 Communication Website: SantaYnezWater.Org The three management areas of the SYRVGB coordinated in creating a single website for communication and outreach located at: https://www.santaynezwater.org This website is a centralized location where updates regarding SGMA activities across the basin are made available. It has been a tool to engage and inform the public and to allow for public involvement in developing the GSP. Features of this website include a tool to enter physical addresses to identify a management area of interest and obtain additional information about each GSA. Members of the public can register as interested parties for one, or all of the SYRVGB management area GSAs (WMA, CMA or EMA), and receive emails regarding upcoming events such as GSA or CAG meetings or documents available for public review and comment. The website also includes items related to noticing and archiving GSA activities including a calendar of GSA meetings, both past and present, upcoming events, and public comment periods, both past and present. Minutes and meeting packets from GSA meetings are made available through the website. Additionally, the website provided opportunity for the public review process used in developing this GSP. Draft documents released to the public were posted to this website, which included a public comment tool to allow individuals to comment on a specific document, or part of documents or make a general comment. 
 Appendix 1c-E provides additional information about the SantaYnezWater.Org website. 1d.1-5 Public Review Comments In accordance with the SGMA regulations8 the CMA GSA solicited public comments on this GSP as well as supporting draft documents. As described above, request for comments included outreach to specific identified stakeholder groups, running the CAG, newsletters released through multiple channels, press releases, and development and implementation of a communications website. Written comments received by the CMA GSA are included as Appendix Public Review Comments, located as the last appendix. Public comments were considered throughout the development of the GSP. Comments on draft documents by stakeholder technical consultants identified additional supporting data that was included in this GSP. Comments by State and Federal wildlife agencies resulted in additional clarification about principal aquifer extents, additional discussion of SWRCB Order WR 2019-0148, limits to GSA authority9 and expanded discussion of wildlife beneficial use including existing biological opinions and wildlife monitoring programs

&&

There are two voting committee members representing the SYRWCD and City of Buellton, and one non-voting committee member representing the  SBCWA. The SBCWA is represented by a person or persons as appointed by the Board of Supervisors for Santa Barbara County, serving as Water Agency Directors.","1c
1d-28
1d-38
1b-b","1. DAC's identified? (yes/no): YES, City of Buelton 
2. If yes, which level of engagment: Engagement=Inform , Involve
3. Evidence/strategies listed for level of engagement:

The GSP  has desginated the City of Buelton as a DAC.  The GSP also includes engagement opportunities open to all stakeholders identified. 

Note for Katherine The GSP has identified the city of Buelton as a DAC, and have included that the City of Buelton has two voting members on the GSA. However, they do not make the connection and state that DACs are represented by the city of Buelton on the GSA like the San Ynez West Basin did by explicitly stating that ""The residents within the DAC are represented on the WMA GSA by the City of Lompoc."" on Cell 13J. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:

GSP states no Tribes are identified and instead are located in the eastern part of the basin. "
