Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: decent/poor ISW assessment; no ISW map, but map of streams labaled as perinnial or intermittent; no groundwater data used; data gaps were identified (NOTE: unsure about how the plan handled the shallow alluvium below the Santa Ynez River)
GDE: decent/poor GDE assessment overall;  flora and fauna are described as well as endangered/threatened species; clear description of the methods and data used; lack of detail about groundater data; the plan used pumping as a reason to label GDEs as ""category B""; data gaps were somewhat identified; pGDEs mapped and described
CLIMATE CHANGE: Used DWR change factors for 2030/2070 (most likely CT) to account for precip, ET, and streamflow inputs. Projected SY not based on projected WB.
SMC: There is plenty of repition on ISW and GW elevation section, WQ has been set on WQO. 
PMA: They have done a good job setting plans based on which phase they are at in different categories. This is project doesn't have recharge project that they want to be implemented anytime soon.and no mention of Tribes and DAC in PMA section.
OTHER: No mention of Open ET, but will begin requiring well monitoring on all users (i.e. meters) and has a pumping credit system proposed for implementation. Planned PMAs addressed demand reduction, but only proposed PMAs addressed supply augmentation.
Stakeholders: Overall includes more information and details that the other two GSA (Western & Central), includes documentation of targetted outreach and engagement to both DACs and Tribes but lacks information related to environmental users. Includes a DAC map and maps Tribal lands as well. ",,,,GSP ID,59,,,
,,,,,,,GSA Name,Santa Ynez River Valley Basin Eastern Management Area GSA,,,
,,,,,,,Subbasin Name,SANTA YNEZ RIVER VALLEY,,,
,,,,,,,Consultant,"GSI water Solutions Inc.,
GEI Consultants",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,12814,,,
,,,,,,,DAC Population,21756,,,
,,,,,,,Tribal population,317,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Disadvantaged communities: Focused efforts have been made to ensure that disadvantaged communities are informed of the GSP development process and are invited to participate. Residents of disadvantaged communities were invited to apply to participate on the EMA CAG.

&&

Specific efforts were also made to reach out to disadvantaged communities during GSP development, including the use of culturally appropriate language, education, and framing of sustainable groundwater management issues. The GSA created quarterly newsletters in English and Spanish for the general public which were distributed by member agencies in utility bills and through newsletters from the County’s District Supervisors. Translation services are offered for different languages as needed in compliance with the Dymally-Alatorre Bilingual Services Act. Interested parties were notified of each meeting through the GCP and through the newsletters from the County’s District Supervisors.

&&

The EMA GSA created the EMA CAG, which is comprised of a variety of the stakeholders and water user groups. Members of this group provide meaningful insight, support, and expertise from a variety of viewpoints for the EMA GSA to consider. Although strictly advisory and not a voting participant of the EMA GSA, the EMA CAG represents a number of social, business, agricultural, domestic, cultural, and economic backgrounds to bring the widest possible perspective. Potential EMA CAG members were identified through outreach to the interested party list and a press release to local newspapers. The group is comprised of seven members representing interests of the following stakeholder groups:
 Domestic well owners
 Agricultural well owners
 Vineyard and wine industry
 Riparian water diverters
 Mutual water companies
 Santa Ynez Band of Chumash Indians
 At large citizens","2-38
2-43
2-39","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement = Inform & Involve
3. Evidence/strategies listed for level of engagement:

DACs are identified as beneficial users as well as considered when conducting targetted outreach.  Although the GSA made a focused effort to include DACs in the EMA CAG, there is no active participation of DACs within the Citizens Advisory Group (CAG). "
