Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: Focuses more on GSP engagement and outreach during development, lacks details on implementation. Tribal lands and DAC maps both provided, lacked a lot of detail on environmental stakeholders. 
ISW: Decent ISW section, except the map only showed one stream in the basin, but the text described three. The plan did a good job describing the model data in the appendix. Data gaps are addressed and pISWs are acknolwedged
GDE: The plan did not include a description of fauna or threatened/endangered species; Methods and data used to charactize GDEs were explained, but lack of groundwater data description; proximity to irrigated fields and surface water was a reason used to label GDEs as unlikley; data gaps were identified and mapped 
SMC: Somehow for ISW, WQ and GW elevation UR they have come up with UR is when 25% or more of wells cross MT. More evaluation on GW quality is needed.
CLIMATE CHANGE: GSP used numerical model to incorporate precip, ET (inc. native veg/managed wetlands) into 2030 and 2070 Central Tendency scenarios. Range of projected SY given based on each climate scenario.
PMA: Very clear and thorough PMA section, they have included details for all their ongoing and potential projects.
OTHER: First GSP to mention OpenET; plans on instaling meters, proposed water market included in PMAs. PMAs have several planned recharge projects, as well as a demand reduction project. ",,,,GSP ID,5,,,
,,,,,,,GSA Name,Colusa Groundwater Authority,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - COLUSA,,,
,,,,,,,Consultant,"Davids Engineering, Inc.
ERA Economics
West Yost Associates
Woodard & Curran, Inc.
California State University, Sacramento",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,16941,,,
,,,,,,,DAC Population,43143,,,
,,,,,,,Tribal population,20,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,22612,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
