Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,GSP ID,61,,,,,
,,,,,,,GSA Name,Ukiah Valley Basin GSA,,,,,
,,,,,,,Subbasin Name,UKIAH VALLEY,,,,,
,,,,,,,Consultant,GEI; SCI; Larry Walker Associates (listed as Technical Team),,,,,
,,,,,,,GSP version,Draft,,,,,
,,,,,,,Acreage of GDEs per basin,717,,,,,
,,,,,,,DAC Population,9175,,,,,
,,,,,,,Tribal population,181,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,,,
,,,,,,,Coder Name,Sara,,,,,
,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes,,
