Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH:  No Tribal stakeholders were identified, GDEs were identified as the only environmental uses within the basin with no representative provided. GSP did not map domestic wells in the subbasin. 
ISW: no map; minimal use of groundwater data to describe ISWs; some description of ISWs from model in water budget section; overall, it was not easy to determine what was considered ISW and what was not
GDE: flora described but not fauna or critical/listed species; clear description of methods used, NC dataset was refined, incorrect method of GDE criteria including both groundwater level and corrosponding NDVI/NDMI trend; data gaps identiifed and pGDEs were mapped
CC: Used 2030 & 2070 CT to incorporate precip, ET (native not separated), and surface inputs (imports not adjusted). Projected SY is based off historical period, not on future WB.
SMC: For ISW they have explained each part of subbasin separately. This section hasn't set any UR, MT, Mo for drinking water users or WQ indicator. 
PMA: Small section with not so many benefit to beneficial users
Other: No mention of OpenET; some metering required (nothing new proposed); no reference to markets. Projects were not described in detail, but proposed MAs addressed supply augmentations if thresholds are crossed.",,,,GSP ID,62,,,
,,,,,,,GSA Name,Yucaipa Basin GSA,,,
,,,,,,,Subbasin Name,UPPER SANTA ANA VALLEY - YUCAIPA,,,
,,,,,,,Consultant,Dudek,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,548,,,
,,,,,,,DAC Population,25300,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,NoData,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
