Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"SH: No federally recognized tribes within the subbasin, DACs and environmental stakeholder identified, the GSP mostly focuses on outreach during development and  does not providedetails on outreach during implementation. 
ISW: no ISW map; long description - hard to follow at times; difficult to know what conlusions were; shallow alluvial aquifer is considered secondary, not principal due to lack of production; data gaps were identified
GDE: flora and fauna were describes, including critical species; detailed description of methods; groundwater data from 2010-2020 was used to assess wetland GDEs; data gaps identifed but pGDEs not well described and mapped
CC: Sparse section; ET/Precip details missing (Water Budget Appendix missing). Used 2070 conditions (most likely CT) to account for climate change. SY based on projected future conditions.
SMC: This plan needs details and quatitative evaluation on how they have set UR, MT and MO
PMA: they need to explain their ongoing projects in details, 
Other: No reference to OpenET; no new metering; no new water markets. PMAs were vague but address supply augmentation (planned and ongoing PMAs) and demand reduction (ongoing PMAs, but only implemented if thresholds crossed)",,,,GSP ID,63,,,
,,,,,,,GSA Name,Temescal Subbasin GSA,,,
,,,,,,,Subbasin Name,UPPER SANTA ANA VALLEY - TEMESCAL,,,
,,,,,,,Consultant,TODD Groundwater & Carollo Engineers,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,1195,,,
,,,,,,,DAC Population,29959,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,No Data,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"2.8.4. Disadvantaged Community Outreach Areas of the Basin identified as disadvantaged and severely disadvantaged communities (DACs and SDACs) are shown on Figure 2-13. These DACs and SDACs are within the service areas of Corona and HGCWD and receive water supply from those agencies. There are no active private wells in these DAC and SDAC areas. This fact notwithstanding, the GSA worked to identify individuals and/or organizations in or representing these DACs and SDACs and engage them in the GSP process. Outreach to DAC and SDAC areas of the Basin included communication with and distribution of Fact Sheets to and through local churches and community centers in the DAC/SDAC areas and individual and group meetings with politically active individuals, community leaders, and community action organizations, and elected officials. This outreach focused on presentations regarding SGMA, the Basin, the GSP process and components, and encouraged participation in public meetings and GSP review. These meetings also generated feedback on additional outreach that the GSA could undertake, much of which was implemented. Notes from these meetings are included in Appendix H.

&&


Outreach and Involvement Activities Listed below are the anticipated stakeholder and public involvement activities that will occur during GSP preparation. They are listed in the order of appearance in the above process chart. The activities are designed to be flexible to meet evolving needs and issues during GSP preparation. Detailed logistics plans will be prepared prior to public workshops and technical advisory committee meetings, and will outline notification methods, formats, key messages, topics, and input and feedback opportunities. 
Groundwater Sustainability Plan Webpage Purpose: Host information about GSP preparation and related involvement activities. Description: A webpage will be created on the City of Corona Department of Water and Power’s website. It will host project information such as general SGMA/GSP information, project timeline, draft chapters, project updates, meeting materials and summaries, and FAQs. It will also allow visitors to sign up for the interested parties list. Timing: All Steps. 
Pre-Workshop Outreach Purpose: Inform stakeholders about GSP preparation and drive attendance at public workshops. Description: Pre-workshop outreach will use outreach materials and social media materials. 
Outreach Materials Potential outreach materials include one-page fact sheets (or similar materials such as project updates or notices) or bill insert announcements. The materials will be posted on the webpage, distributed to the interested parties list via email, and to the public using social media and community organizations. The timing of the creation and distribution of outreach materials will be tied to project milestones and public workshops. 
Social Media, Websites, and Email The GSA members will utilize their existing social media accounts to spread the word following completion of project milestones and in advance of public workshops. Posts on the City of Corona’s Facebook, Twitter, Instagram, and/or Nextdoor pages will distribute information, outreach materials, and/or direct interested parties to the GSP webpage and public workshops. The City of Corona’s Inner Circle email distribution list will likewise be used to disseminate information. The City of Norco will distribute information using its Facebook and Twitter accounts. Home Gardens County Water District has a webpage where workshop information will be posted. Stakeholder organizations will be encouraged to repost social media communications for wider distribution. Timing: Step 2, Conduct Baseline Studies; Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP; Step 6, Review Draft GSP and Adopt Draft GSP Temescal Subbasin GSP 

Focused Outreach Purpose: Involve Disadvantaged Communities and Severely Disadvantaged Communities. Description: Throughout GSP preparation, opportunities will be for outreach to Disadvantaged and Severely Disadvantaged Communities. In Step 1, the foundation will be laid by reaching out to community leaders and organizations to begin to build relationships and learn what strategies have been successful for them, how to overcome any existing barriers, and best methods for engaging in culturally and linguistically appropriate ways. Using this information and the previously discussed demographic information, gaps in pre-workshop outreach methods will be identified and addressed. Spanish translation of materials and interpretation at events will also be woven into outreach and involvement. Examples of effective outreach that has already been identified include posts on community social media pages and receiving information in the mail. Potential outreach materials could include customized social media posts for community organizations to share. In Step 2, focused outreach, such as virtual stakeholder meetings, social media livestreams, social media posts, or flyer distribution, will be conducted, possibly in partnership with community groups and leaders. The purpose is to inform community members of their groundwater resources, how they are managed, and who manages them so that they are more comfortable in engaging in discussions later in GSP preparation. Basic information about the role of the GSP in groundwater management and public involvement will also be introduced. Potential outreach materials could include stakeholder meeting presentations, social media posts, or informational flyers. Steps 3-6 will include continuation of pre-workshop outreach methods. It is also possible that some community members in disadvantaged communities may not have easy access to internet or cell phone data, so in-person meetings may be considered, if allowed by health authorities and community members are not excluded from public gatherings due to vulnerability to infection. Timing: All Steps.
Technical Advisory Committee Meetings Purpose: The purpose of the Technical Advisory Committee (TAC) is to contribute community and stakeholder perspectives and interests in GSP planning and GSP and SGMA implementation in the Temescal Subbasin. Description: TAC members will provide input and feedback on GSP development and implementation and GSA policies based on their expertise, knowledge, resources, and understanding of their communities, environment, commerce, and applicable regulations. The GSA and the project team will consider the TAC’s input throughout GSP preparation, along with input from the broader community, other stakeholders, and other government agencies involved in groundwater management and associated regulatory requirements. Temescal Subbasin GSP | Outreach and Stakeholder Involvement Communications Plan 10 TAC members represent the diverse interests of GSA-eligible agencies and groundwater uses and users. The intent of the Technical Advisory Committee is to contribute community and stakeholder perspectives and interests in GSP planning and GSP and SGMA implementation in the Temescal Subbasin. See Appendix D for the protocols and operating principals document. Timing: Step 2, Conduct Baseline Studies; Step 3, Build Water Budget and Numerical Model; Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP. 
Public Workshops Purpose: Create a forum to share project information with the public and stakeholders and provide input and feedback opportunities. Description: Public workshops will allow stakeholders an opportunity to provide incremental input at meaningful points in GSP development. The workshop series will also help community members and other stakeholders understand the purpose, need, benefits, and issues associated with sustainable groundwater planning. The planned focus of these workshops is the following: 1. Kickoff (Step 2, Conduct Baseline Studies) 2. Criteria for sustainability (Step 4, Define Sustainability Goal and Criteria) 3. Preliminary evaluation of management actions (Step 5, Prepare Draft GSP) 4. Presentation of draft GSP (Step 6, Review Draft GSP and Adopt Draft GSP) Public workshops could include elements such as a presentation, Q&A sessions, and various opportunities for attendees to provide input or feedback such as live polling, breakout groups, or comment cards. The first public workshop will likely take the form of a virtual meeting. The project team will assess the conditions for future workshops and weigh the risks and benefits of holding them in-person. Any in-person workshops will be held in a venue that maximizes accessibility and convenience for the communities of Corona, Home Gardens, and Norco. Timing: Step 2, Conduct Baseline Studies; Step 3, Build Water Budget and Numerical Model; Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP; Step 6, Review Draft GSP and Adopt Draft GSP City Council and Board of Directors Meeting Presentations Purpose: Update the city councils of the Cities of Corona and Norco, and the Board of Directors of Home Gardens, and their respective communities, on GSP development and hold the GSP adoption hearing. Description: The public will be able to hear updates on GSP preparation as an agenda item and provide comment periodically throughout the planning process and at the final adoption hearing. Temescal Subbasin GSP | Outreach and Stakeholder Involvement Communications Plan 11 Timing: Step 2, Conduct Baseline Studies; Step 3, Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP; Step 6, Review Draft GSP and Adopt Draft GSP Public Comment Period Purpose: Allow the public to comment on the GSP before adoption. Description: According to SGMA, a GSA may adopt a GSP after a public hearing, held at least 90 days after providing public notice of a comment period. Draft GSP materials, including draft chapters and supporting documents will also be released for public review periodically throughout GSP preparation to facilitate additional public review. Timing: Step 2, Conduct Baseline Studies; Step 3, Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP; Step 6, Review Draft GSP and Adopt Draft GSP Inter-basin Coordination Purpose: SGMA requires coordination of specific GSP elements between connected basins and/or subbasins. Description: The GSA and their technical consultants will communicate with the GSAs, agencies, and/or technical consultants in and for neighboring basins and subbasins to coordinate water budget and sustainability criteria. This will facilitate consistency in estimates of flow across basin boundaries and make sure that sustainable basin management does not adversely affect neighboring basins. Timing: Step 2, Conduct Baseline Studies; Step 3, Step 4, Define Sustainability Goal and Criteria; Step 5, Prepare Draft GSP; Step 6, Review Draft GSP and Adopt Draft GSP","Chapter 2: 2-25
Appendix D, Page 8-11
","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform, Involve
3. Evidence/strategies listed for level of engagement:

The GSP does document targetted outreach for DACs, including notification, communication, and distribution of SGMA Fact Sheets. The GSP also documents inviting DAC members and orgs to public meetings. Although they have included targetted outreach for DACs, they do not have a DAC representative on the advisory board so this is a somewhat. 

Martha I added this here in case you think it is useful (Sara): https://www.coronaca.gov/government/departments-divisions/department-of-water-and-power/about-dwp/groundwater/community-involvement"
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,"7. California Native American Tribes
a. Not present within the Temescal Subbasin or proposed GSA area.","Appendix B: List of Interested Parties
Page 2
Page 319 of 641 in pdf
","1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
