Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"General: Appendix B& P will be available September/28/2021. Appendix A, R and T will be available with Final Draft.

ISW: decent assessment, but no description of gaining/losing reaches, lack of temporal data used, and uncertainty surrounding the perched groundwater connection to principal aquifers
GDE: Again, decent assessment but the plan used incorrect groundwater depths based on mis-interprested rooting depths (valley oak), only used one year of groundwater data, and removed pGDEs because of relience on perched aquifers.
SMC: In general they have done a good job with UR section, they clearly have stated different indicators, however in MO, they need more detail and clear explanations.
CLIMATE CHANGE: Different CC factors were used than DWR, but details of methodology unclear (Appendix P will supposedly have more details). Precip, ET, and surface flow taken into account, imported water not; Projected SY based on projected WB
PMA: Not too many projects 
OTHER: No mention of Open ET, meters, or water markets. PMAs were brief but are projected to close the gap betwen overdraft and SY.
Stakeholders: water sources for DACs are identified, stakeholder engagement overall is considered a ""somewhat"", DACs seemed to be the most focused but tribal and environmental stakeholder engagement lacks details. a general outreach plan is provided for all stakeholders during GSP implementation, all beneficial users are listed to be considerd when establishing SMC but no firther details are provided. ",,,,GSP ID,6,,,
,,,,,,,GSA Name,North American GSAs,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - NORTH AMERICAN,,,
,,,,,,,Consultant,"GEI Consultants, Inc",,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,11266,,,
,,,,,,,DAC Population,439633,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,985,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ",  ,"Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Consideration of beneficial uses and users. This process consisted of identifying all the beneficial uses and users in the NASb and then evaluating the proposed MOs, MTs and  undesirable results values based the interests of each beneficial uses and users of  groundwater. These beneficial uses and users are listed below:  Agricultural  Domestic  Municipal  Public Water Systems  Environmental  Federal Government  Tribes  Disadvantaged Communities (DACs)  Surface Water Users  Parks  State Government  Local Land Use Planning Agencies  Conservancies
&&


11.2.5 Disadvantaged Communities As mentioned in Section 3.6 – Disadvantaged Communities, there are disadvantaged communities (DACs and SDACs) in the Subbasin that were identified using DWR’s DAC mapping tool. Figure 3-8 shows their locations. Most are located within Placer and Sacramento Counties. Those within Sacramento County are located within urban areas, while those in Placer County are in rural areas. Those disadvantaged communities in Sacramento County and in the southern portion of Placer County are mostly provided drinking water by water agencies, but some still rely on domestic wells. Water delivered to these customers by water agencies is regularly sampled and tested to ensure it meets or exceeds all state and federal drinking water standards. Outreach to these communities was provided through water agency board meetings, notices, and/or direct mailers and other methods. Most DAC areas in the northern portion of Placer County do not have water service and rely on domestic wells other than those communities near City of Lincoln, which have water service from the City of Lincoln. Some users in communities near City of Lincoln have water service from the City of Lincoln. The community of Sheridan is also served by a community water system. Outreach to these areas was done through social media, community meetings, municipal advisory meetings, and direct mailers. 

&&

Human Right to Water (Table 11-1)
Disadvantaged Communities
Small Water/Community Systems
Environmental Justice Groups
Inform and involve to provide a safe and secure groundwater supplies to all communities reliant on groundwater","8-7
11-6
Table 11-1","1. DAC's identified? (yes/no): YES
2. If yes, which level of engagment: Engagement=Inform & Consult
3. Evidence/strategies listed for level of engagement:

A specific section for DAC engagement is provided and in which the engagement needs of different DACs are established and ackowledged. But no details of involvement beyond information sharing and opportunities to give public comment."
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Somewhat,"Consideration of beneficial uses and users. This process consisted of identifying all the beneficial uses and users in the NASb and then evaluating the proposed MOs, MTs and  undesirable results values based the interests of each beneficial uses and users of  groundwater. These beneficial uses and users are listed below:  Agricultural  Domestic  Municipal  Public Water Systems  Environmental  Federal Government  Tribes  Disadvantaged Communities (DACs)  Surface Water Users  Parks  State Government  Local Land Use Planning Agencies  Conservancies

11.2.1 Tribes The United Auburn Indian Community (UAIC) has jurisdiction over land in Placer County  southeast of Lincoln and northeast of Sheridan. These lands are exempt from SGMA. Figure 3-2 in Section 3 – Plan Area shows the tribal lands in the Subbasin. The West Placer GSA reached out to the UAIC prior to GSP development and has inc

&&

Tribes Federally Recognized Tribes (Table 11-1)
Other Tribes with Land Interest
Inform, involve and consult with tribal government","8-7
11-7
Table 11-1","1. Tribes identified? (yes/no): YES
2. If yes, which level of engagment: Engagement= Inform 
3. Evidence/strategies listed for level of engagement:

Although a tribal land map is provided, the GSP lacks details on Tribal engagement. It mostly focuses on identifying tribes as stakeholders but does not go into detail about engagement opportunities. "
