Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: there is a map which shows temporal connection in percentages, but uncertain what conclusions are based on labeling of surface water segments. No description of data used in BGMM model. Data gaps are identified in other sections of plan.
GDE: Poor description of species in basin's GDEs, other than mention of Valley Oak. Clear maps of GDEs. No use of groundwater data in GDE assessment and the plan used the presence of surface water and proximity to irrigated fields as a reason to label GDEs as ""unlikely""
WQ: This section has data gaps and very little evaluation on gw quality. More analysis is needed.
CLIMATE CHANGE: good use of numerical model to incorporate ET, precip, surface flows; only one scenario used for 2030/2070 (CT for both). Projected SY based off historic pumping rather than projected water budget.
SMC: Sustainable Management criteria needs more data and evaluation on different SMC criteria.
PMA: They did a good job explaining their PMA section clearly the stage of plan and who is implementing it and expected benefits.
OTHER: No mention of Open ET, meters, or new water markets; CC not mentioned in the SMC section as a driver of UR/crossing thresholds. PMAs addressed gap between projected SY and overdraft through demand reduction/supply augmentation. 
Stakeholders: A Tribal engagement document was included which is overall very detailed, there is adequate documentation of DAC and environmental stakeholders. NO map of tribal lands is provided but tribal lands are identified, no DAC population size or mapping of domestic well depth is provided. ",,,,GSP ID,7,,,
,,,,,,,GSA Name,Vina GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - VINA,,,
,,,,,,,Consultant,GeoSyntech Consultant,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,7007,,,
,,,,,,,DAC Population,86065,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,1136,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Figure 1-5 shows the spatial extent of Disadvantaged Communities (DACs) and Severely Disadvantaged Communities (SDACs) in the Vina Subbasin. DWR defines DACs as census geographies (census tracts, census block groups, and census-designated places) with an annual 669 median household income (MHI) that is less than 80% of the statewide annual MHI. SDACs are  defined as census geographies with an MHI less than 60 percent of the statewide annual MHI. DWR uses the most recently available 5-year American Community Survey (ACS) dataset to identify these areas. For this GSP, the 2012-2016 ACS dataset was used, establishing statewide MHI as $63,783 (DWR, Mapping Tools).

&&

Human right to water • Disadvantaged Communities • Small community systems • Environmental Justice Groups: Leadership Council for Justice and Accountability, SelfHelp Enterprises, Community Water Center Inform and involve to provide a safe and secure groundwater supplies to all communities reliant on groundwater 

&&

There were a number of different meetings at which the public had the opportunity to engage during the GSP development process: • GSA Board meetings: The Vina GSA Board and the Rock Creek GSA Board in the Vina Subbasin held regular public meetings, including joint meetings, to facilitate public input. The Rock Creek GSA held regular public meetings in many cases in conjunction with the Reclamation District’s standing board meetings. • Subbasin-wide Technical meetings • SHAC meetings • Farm Bureau Water Forum meeting  • City of Chico meetings • Regional Water Management Group meetings","1-8
1-23 (Table 1-1)
1-24","1. DAC's identified? (yes/no): YES, DACs are mapped (Figure 1-5)
2. If yes, which level of engagment: Engagement=Inform 
3. Evidence/strategies listed for level of engagement:
 DACs are identified and mapped (figure 1-5) in the basin, DACs are also identified in Table 1-1 as stakehodlers referencing human  right to water and identifying several orgs/groups related to DACs. The GSP also includes general engagement opportunities open to all stakeholders. Although the GSP identifies DACs as stakeholders, there is no targetted engagement for DACs. "
