Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"ISW: no ISW map, very vague and brief assessment of ISWs due to lack of data, which is acknolwedged well; water budget section includes some description of gaining conditions of the Sacramento River
GDE: no inventory/description/map of flora and fuana in basin; no mention of threatened or endangered species; clear description of methods but lack of data and the plan did not include the figures referenced in appendix 2-H; plan seems to remove GDEs based on proximity to irrigated land and based on NDVI trend; GDE data gaps well identified
Climate Change: 2030 and 2070 CT used to incorporate precip, ET (Native separated out), and stream flow (no imports to basin). Projected SY based off of projected budget estimate using 2070 CT with future land use conditions
SMC: The SMC section is interesting, they start by explaining MO first rather than UR or MT, The UR section is very small. The whole SMC section is vague and missing lots of details. At monitoring network section they mention their data gaps for ISW
PMA: They have done a detailed job explaining different projects, only time of implementation needs to be more precise for their projects. Also since the subbasin is SDAC, most of their projects have benefit to them.
Other: No mention of OpenET; well metering proposed; water market proposed. PMAs were all proposed but addressed demand reduction/supply augmentation. RWQCB identified as WQ authority but no coordination discussed.",,,,GSP ID,8,,,
,,,,,,,GSA Name,Tehama County Flood Control and Water Conservation District GSA,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - LOS MOLINOS,,,
,,,,,,,Consultant,Luhdorff & Scalmanini,,,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,6318,,,
,,,,,,,DAC Population,4552,,,
,,,,,,,Tribal population,0,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,93,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
Stakeholder,PLAN AREA,,DACs,1,"Does the GSP document how DAC stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to DACs, no reference to stakeholder engagement during development 
somewhat=  no specific reference to DAC engagement but lists DAC as a stakeholder, provides stakeholder engagement details 
Yes= references DACs and how they were engaged specifically during development beyond informing DACs
","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"Information included in these plans and applicable studies completed in Tehama County regarding surface water, groundwater, land use, and monitoring has been included in the development of this GSP as necessary. Development and implementation of the GSP will continue to consider the interests of all beneficial uses and users of groundwater including agricultural users, municipal water users, domestic users, disadvantaged communities (Figure 2-11), groundwater dependent ecosystems (GDEs), and other stakeholders.

&&

Outreach Steps Phase I 1. Use DWR Disadvantaged Communities Mapping Tool or other geographic information system technology to help identify disadvantaged, severely disadvantaged and economically distressed communities within the Cosumnes subbasin. 2. GSAs share insights on engaging with members of these communities from past projects or efforts. Also consider the key outreach principles identified below. 3. Review catalog of existing outreach materials. Modify as necessary to fit the needs of each community. This may include translating select materials into one or more languages. Develop additional materials if advantageous. 4. Identify potential points of contacts / outreach partners for DAC engagement. See preliminary list of partners below. Conduct an initial, informal communication with organizational points of contact to clarify interest in engaging DAC communities on SGMA; request advice about appropriate avenues for outreach; and identify next steps.

&&

Communication & Engagement Forum 
Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. The District Board of Directors meetings and the Groundwater Commission meetings5 constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSPs. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information early in the process.
Stakeholder Briefings Groundwater Commission members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. District staff will be available to assist with presenting any information upon request. Public Workshops Public educational workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input. Public Notices Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSPs, including workshops, public hearings, providing comments at District Board meetings and Groundwater 5 Visit www.tehamacountywater.ca.gov for meeting information. 7 Commission meetings and through written comments. And, the GSA will comply with public noticing requirements. Prior to adoption of or amendment(s) to GSPs, SGMA requires that GSA: • Provides notice to cities and counties within Plan area • Considers comments provided by the cities and counties • Accommodates requests for consultation received from the cities and counties within 30 days • No sooner than 90 days following public notice, holds public hearings In addition, when a GSA considers any fees to support the work of sustainability, the GSA will provide public notice and other engagement activities.

&&

Active involvement of the public and stakeholders was encouraged in a variety of ways:
• Public Meetings - Groundwater Commission and District Board of Directors meetings were open to the public and followed the requirements of the Brown Act. The public had opportunities to provide comments on programs, plans, and proposals at these meetings.
• Public Hearings - Public hearings were held prior to the adoption of any fees, GSP elements, and the final GSP.
• Public Workshops – These included all educational opportunities where the public could learn about SGMA, GSA, and GSP elements. These events were typically held as tailgates and webinars.
• Public Notices – Notices were sent to the public prior to the initial development of the GSP and to inform the public of ways in which they could be involved in the GSP development and implementation process.
• Stakeholder Briefings – Groundwater Commission members regularly communicated with and disseminated information to the stakeholder groups they represent.
• Newsletters - Quarterly newsletters were provided to update the public and stakeholders on GSP development. A full list of meetings, public hearings, and workshops during which the public had the opportunity to be engaged is included in Table 2-7. Additionally, presentations were provided to stakeholder groups as listed in Appendix 2-C.","2A-25
Figure 2-11
Appendix D
Appneix 2A, Page 6
2A-41","1. DAC's identified? (yes/no): Yes, The GSP includes a map of economically distressed reas within the basin shwon in Figure 2-11. 
2. If yes, which level of engagment: Engagement=Inform, Consult
3. Evidence/strategies listed for level of engagement:

The GSP includes a guidance document on DAC engagement which is included in all Tehama Valley Subbasins, this document provides very brief targeted engagement mostly consisting of informing DACs and recahing out to organizations related to DACs. The GSP also includes general engagement open to all stakeholders identified. "
Stakeholder,,,Tribes,1,"Does the GSP document how tribal stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No = no reference to Tribes , no reference of stakeholder engagement opportunities
Somewhat= No specific Tribe engagement described, lists Tribes as stakeholders, includes stakeholder engagement details
Yes = reference to Tribes in the Basin, documents targetted engagment opportunities for Tribal stakeholders beyond informing","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Tribes identified? (yes/no):
2. If yes, which level of engagment:
3. Evidence/strategies listed for level of engagement:"
Stakeholder,,,Ecosystems,1,"Does the GSP document how environmental stakeholders were given opportunities to engage in the GSP development process? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement. ","No= does not identify environmental stakeholders or documents engagement opportunies for stakeholders
Somewhat= identifies environmental users as stakeholders but does not include targetted engagement opportunities for them. Only provides details on engagement opportunities for ALL stakeholders listed. 
Yes= identifies environmental users as stakeholders, includes targetted engagement opportunities for them beyond informing them","environment, stakeholder, environmental beneficial user",Somewhat,"Communication & Engagement Forum 
Public Meetings/Hearing Public meetings or hearings are formal opportunities for people to provide official comments on programs, plans and proposals. The District Board of Directors meetings and the Groundwater Commission meetings5 constitute regular public meetings that will be noticed and conducted in accordance with the Ralph M. Brown Act. SGMA requires that a public meeting be held prior to the adoption of a fee and that public hearings are held for the adoption of GSP elements and the final GSPs. There are also constitutional requirements for public hearings for some fee/rate options. Public meetings and hearings are an important forum for people to share viewpoints and concerns, but often occur at the end of a process, when only one option is under consideration. The GSA will hold required public meetings and hearings, but will also use less formal public workshops to solicit feedback and information early in the process. Stakeholder Briefings Groundwater Commission members will meet with and communicate regularly with organizations comprised of the stakeholder groups they represent. District staff will be available to assist with presenting any information upon request. Public Workshops Public educational workshops provide less formal opportunities for people to learn about groundwater, SGMA, and GSP elements. Workshops can be organized in a variety of ways, including open houses, “stations” where people can ask questions one-on-one, and traditional presentations with facilitated question and answer sessions. In order to solicit feedback from people who may not be comfortable speaking in public, workshops can include small group breakout discussions, comment cards and other techniques. Whatever format is used, workshops will be designed to maximize opportunities for public input. Public Notices Public notices, often required by law, aim to notify agencies and the public about activities that may affect the public. As outlined in this Communications and Engagement Plan, the GSA will sponsor a variety of opportunities for people to participate in the development and implementation of the GSPs, including workshops, public hearings, providing comments at District Board meetings and Groundwater 5 Visit www.tehamacountywater.ca.gov for meeting information. 7 Commission meetings and through written comments. And, the GSA will comply with public noticing requirements. Prior to adoption of or amendment(s) to GSPs, SGMA requires that GSA: • Provides notice to cities and counties within Plan area • Considers comments provided by the cities and counties • Accommodates requests for consultation received from the cities and counties within 30 days • No sooner than 90 days following public notice, holds public hearings In addition, when a GSA considers any fees to support the work of sustainability, the GSA will provide public notice and other engagement activities.

&&

Active involvement of the public and stakeholders was encouraged in a variety of ways:
• Public Meetings - Groundwater Commission and District Board of Directors meetings were open to the public and followed the requirements of the Brown Act. The public had opportunities to provide comments on programs, plans, and proposals at these meetings.
• Public Hearings - Public hearings were held prior to the adoption of any fees, GSP elements, and the final GSP.
• Public Workshops – These included all educational opportunities where the public could learn about SGMA, GSA, and GSP elements. These events were typically held as tailgates and webinars.
• Public Notices – Notices were sent to the public prior to the initial development of the GSP and to inform the public of ways in which they could be involved in the GSP development and implementation process.
• Stakeholder Briefings ​– Groundwater Commission members regularly communicated with and disseminated information to the stakeholder groups they represent.
• Newsletters - Quarterly newsletters were provided to update the public and stakeholders on GSP development. A full list of meetings, public hearings, and workshops during which the public had the opportunity to be engaged is included in Table 2-7. Additionally, presentations were provided to stakeholder groups as listed in Appendix 2-C

&&

Environmental & Ecosystem: 
• Audubon Society
• The Nature Conservancy
• California Department of Fish and Wildlife
• United State Fish and Wildlife Service
• United States Bureau of Reclamation
• United States Bureau of Land Management
• United States Forest Service
• Natural Resources Conservation Service
• DWR
• California State Parks
• Fire Safe Councils (Tehama Glenn FSC)
• Dye Creek Preserve
• Mill Creek Conservancy
• Deer Creek Watershed
• California Department of Fish & Wildlife Interests in
Dye, Mill, and Deer Creeks (salmon)","Appendix 2A, Page 6
2A-41
Table 2-6 (Page 2A-37)","
1. Environmental Stakeholders identified? YES
2. Which level of engagment: Inform, Consult 
3. Evidence/strategies listed for level of engagement:

GSP identified environmental stakeholders but does not include targetted outreach. Does provide general stakeholder engagement opporutnities open to all identified stakehoolders. "
Stakeholder,,,DACs,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to DACs during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not document implementation outreach for stakeholders, does not identify DACs as stakeholders(when they are present)
Somewhat= Identifies DACs as stakeholders, outlines outreach to stakeholders (not DAC-specific)
Yes=Identifies DACs as stakeholders, includes DAC-specific outreach (beyond informing)","Disadvantaged Communit*, DAC, stakeholder, beneficial user",Somewhat,"This appendix is intended to help identify and map out specific issues and strategies that the District, advisory groups, and/or partners may consider during implementation of the GSPs. This does not commit any entity to specific tasks nor preclude them from pursuing other strategies aligned with the subbasin GSPs, related governance documents, and the Communication & Engagement Plan. Methods The following are methods that have emerged as highly effective and/or strongly recommended by District Board members, Groundwater Commissioners, District staff, consultants, and/or other subjectmatter experts, partners, stakeholders, and the public. 
As mentioned above, the list does not commit any entity to specific tasks nor preclude them from pursuing other strategies. 
• Outreach/project partners and collaborative forums (mailing list networks, newsletters, events, etc.) • Briefings upon request (communities, organizations, etc.) • One-on-one communication with GSA representatives and staff • District Board and Groundwater Commission meetings • Recorded presentations (e.g., public webinars) • District website • Print-friendly handouts (factsheets, event flyers, etc.) • Quarterly eNewsletter (including print-friendly format) • Established popular physical locations to access materials (e.g., District office, library, etc.) • Popular social media platforms / accounts • Briefings with regulators and land managers (can inform funding and collaborative project opportunities) 
Additional methods to consider during implementation of the GSPs The following methods were not as widely used or perceived as substantially effective during development of the GSPs development, but these may be viewed as more feasible or effective going forward during implementation of the GSPs. Factors to that may influence selecting particular methods include: topic is of high interest to stakeholders / public, key milestones during SGMA implementation, available capacity and funding, etc.) • Individual calls, texts, mailings • Surveys • News articles / op-eds • Radio (e.g, 97.3, 91.7, and 88.9) / TV PSAs • Kiosks, marquis, sign postings on community bulletin boards • Expanding outreach partners (e.g., schools, faith-based groups, etc.)",Appendix G (Potential Outreach),"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for DACs?  ( yes/no) NO
3. What level of outreach engagement? 

The GSP mostly focuses on engagement and outreach during GSP development but does include Appendix G which is still a work in progres that highlights potential outreach for all stakeholders during GSP implementation. "
Stakeholder,,,Tribes,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to tribes during GSP implementation? If so, please describe the level of engagement (e.g., whether stakeholders were on an advisory committee, GSA board, working group) in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No= does not identify Tribes as stakeholder (when present or ackowledged within the basin), does not outline outreach methods
Somewhat= might/might not identify Tribes as stakeholder, or reference to Tribal members present in basin but have not Tribe-specific outreach outlined, only general stakeholder outreach 
Yes= Identifies Tribes as stakeholders, includes outreach specific for Tribal stakehodlers explicitly (beyond informing)","Tribal, tribe, stakeholder, beneficial user",Not Applicable,,,"1. Documents outreach plans to stakeholders? (yes/no)
2. List specific outreach methods for Tribes?  (yes/no)
3. What level of outreach engagement? "
Stakeholder,,,Ecosystems,2,"Does the Stakeholder Communication and Engagement Plan or GSP include outreach to environmental stakeholders during GSP implementation? If so, please describe the level of engagement in the Notes. Answer according to level of engagement: Yes = Involve, Collaborate, Empower; Somewhat = Inform and Consult; No = No mention of engagement.","No=does not identify environmental users as stakeholders, does not outline outreach methods 
Somewhat=identifies environmental stakeholders, outlines only general stakeholder outreach, not specific to environmental stakeholders
Yes=Identifies environmental stakeholders, includes outreach material for env stakeholders specifically beyond informing","environment, stakeholder, environmental beneficial user",Somewhat,"This appendix is intended to help identify and map out specific issues and strategies that the District, advisory groups, and/or partners may consider during implementation of the GSPs. This does not commit any entity to specific tasks nor preclude them from pursuing other strategies aligned with the subbasin GSPs, related governance documents, and the Communication & Engagement Plan. Methods The following are methods that have emerged as highly effective and/or strongly recommended by District Board members, Groundwater Commissioners, District staff, consultants, and/or other subjectmatter experts, partners, stakeholders, and the public. 
As mentioned above, the list does not commit any entity to specific tasks nor preclude them from pursuing other strategies. 
• Outreach/project partners and collaborative forums (mailing list networks, newsletters, events, etc.) • Briefings upon request (communities, organizations, etc.) • One-on-one communication with GSA representatives and staff • District Board and Groundwater Commission meetings • Recorded presentations (e.g., public webinars) • District website • Print-friendly handouts (factsheets, event flyers, etc.) • Quarterly eNewsletter (including print-friendly format) • Established popular physical locations to access materials (e.g., District office, library, etc.) • Popular social media platforms / accounts • Briefings with regulators and land managers (can inform funding and collaborative project opportunities) 
Additional methods to consider during implementation of the GSPs The following methods were not as widely used or perceived as substantially effective during development of the GSPs development, but these may be viewed as more feasible or effective going forward during implementation of the GSPs. Factors to that may influence selecting particular methods include: topic is of high interest to stakeholders / public, key milestones during SGMA implementation, available capacity and funding, etc.) • Individual calls, texts, mailings • Surveys • News articles / op-eds • Radio (e.g, 97.3, 91.7, and 88.9) / TV PSAs • Kiosks, marquis, sign postings on community bulletin boards • Expanding outreach partners (e.g., schools, faith-based groups, etc.)",Appendix G (Potential Outreach),"1. Documents outreach plans to stakeholders? (yes/no) YES
2. List specific outreach methods for Environmental stakeholders?  (yes/no) NO
3. What level of outreach engagement? 


The GSP mostly focuses on engagement and outreach during GSP development but does include Appendix G which is still a work in progres that highlights potential outreach for all stakeholders during GSP implementation. "
Stakeholder,,,All,2,Does the GSP include a Stakeholder Communication and Engagement Plan?,"No= does not include a C&E plan
Yes= includes specific section in GSP  dedicated to Stakeholder C&E
","Stakeholder community and engagement plan, beneficial user",Yes,,Appendix 2A,Title: Stakeholder Communications and Engagement Plan
