Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Appendices 8b and 8e are not available yet, (Status: coming soon)

SH: GSP mostly focuses on outreach during GSP development, more information is needed about implementation. A seperate report is included that outlines all information related to DACs and SDACs within the subbasin, the link to this document is available in Chapter 2, Page 2--65.
ISW: Good ISW section; clear methods and data descriptions; clear map; data gaps identified and all surface water is mapped as either ""likely"" or ""unlikely""
GDE: Clear descrption of methods, description of flora, fauna, and citicial species; GDEs were removed if within agricutlural land, or ""idle ag land and pasture""; data gaps identified but not all pGDEs mapped
CC: Used 2030 & 2070 CT to incorporate precip, ET (native separated out), and stream flow (imports not adjusted). Projected SY is based on projected water budget under future land use conditions w/ CC
SMC: They have done a good job stating different indicators clearly.
PMA: Very Detailed and well written, they need to evaluate impacts to DAC better
Other: No reference to OpenET, some metering proposed, water market proposed.Planned PMAs addressed supply augmentation, and a proposed PMA addressed demand reduction. Coordination w/ RWQCB referenced.",,,,GSP ID,9,,,
,,,,,,,GSA Name,Solano GSA Collaborative,,,
,,,,,,,Subbasin Name,SACRAMENTO VALLEY - SOLANO,,,
,,,,,,,Consultant,LSCE Team,"Luhdorff & Scalmanini Consulting Engineers, Kennedy/Jenks Consultants, Inc., West Yost, Davids Engineering, Inc., and ERA Economics compose the LSCE Team for the Solano Subbasin Groundwater Sustainability Plan.",,
,,,,,,,GSP version,Draft,,,
,,,,,,,Acreage of GDEs per basin,20687,,,
,,,,,,,DAC Population,1233,,,
,,,,,,,Tribal population,,Answer NA if Tribal Population is 0 and there is no mention of tribes described in the GSP.  Answer all Tribal related questions even if tribal populations are 0 and the GSP mentions tribes in the basin.,,
,,,,,,,Acreage of Managed Wetlands,4905,,,
,,,,,,,Point Contact Name,Sara,,,
Coding Sections,GSP Plan Element,,Topic,Level,Criteria,Spectrum,Key Search Terms,Answer,Relevant Text from GSP,GSP Page / Section,Notes
