gsp,n,accuracy,auroc,aucpr,precision,recall,f1
1_BigValley_DraftGSP,50,0.8,0.775,0.652,0.53,0.73,0.62
2_EelRiver_DraftGSP,50,0.8,0.839,0.609,0.36,0.83,0.5
3_Yolo_DraftGSP,51,0.9216,0.947,0.882,0.76,1.0,0.87
4_SouthAmerican_DraftGSP,48,0.625,0.655,0.665,0.55,0.6,0.57
5_Colusa_DraftGSP,51,0.6667,0.667,0.692,0.58,0.67,0.62
6_NorthAmerica_DraftGSP,51,0.6863,0.696,0.625,0.5,0.62,0.56
7_Vina_DraftGSP,51,0.7843,0.817,0.757,0.65,0.76,0.7
8_LosMolinos_DraftGSP,48,0.8125,0.788,0.774,0.79,0.65,0.71
9_Solano_DraftGSP,48,0.6875,0.762,0.839,0.81,0.61,0.69
10_Sutter_DraftGSP,51,0.6471,0.671,0.644,0.6,0.43,0.5
11_Butte_DraftGSP,48,0.75,0.758,0.715,0.6,0.75,0.67
12_Cosumnes_DraftGSP,51,0.7059,0.712,0.731,0.67,0.64,0.65
13_Tracy_DraftGSP,48,0.875,0.891,0.83,0.75,0.86,0.8
14_EastContraCosta_DraftGSP,45,0.7111,0.679,0.638,0.56,0.6,0.58
15_Fillmore_DraftGSP,49,0.8367,0.859,0.799,0.68,0.87,0.76
16_Piru_DraftGSP,47,0.7872,0.819,0.737,0.58,0.85,0.69
17_Mound_DraftGSP,49,0.8163,0.789,0.579,0.42,0.71,0.53
18_Shasta_DraftGSP,51,0.7647,0.762,0.757,0.7,0.7,0.7
19_SierraValley_DraftGSP,50,0.72,0.766,0.748,0.71,0.57,0.63
20_ButteValley_DraftGSP,51,0.7843,0.806,0.733,0.6,0.8,0.69
22_SanGorgonioPass_DraftGSP,50,0.88,0.867,0.767,0.73,0.73,0.73
23_SantaMonica_DraftGSP,48,0.8542,0.875,0.659,0.45,0.83,0.59
25_ElsinoreVally _DraftGSP,51,0.8824,0.907,0.801,0.67,0.91,0.77
26_NorthSanBenito_DraftGSP,50,0.84,0.858,0.735,0.6,0.82,0.69
27_TuleLake_DraftGSP,48,0.8125,0.779,0.711,0.73,0.57,0.64
29_NapaValley_DraftGSP,50,0.66,0.629,0.676,0.63,0.55,0.59
30_SonomaValley_DraftGSP,47,0.7872,0.795,0.823,0.7,0.9,0.79
31_OjaiValley_DraftGSP,42,0.6905,0.706,0.683,0.59,0.62,0.61
32_PetalumaValley_DraftGSP,47,0.6383,0.669,0.68,0.57,0.6,0.59
33_Anderson_DraftGSP,51,0.6471,0.687,0.599,0.47,0.53,0.5
34_Enterprise_DraftGSP,47,0.7021,0.719,0.674,0.59,0.59,0.59
35_Antelope_DraftGSP,50,0.86,0.792,0.789,0.85,0.69,0.76
36_Corning_DraftGSP,50,0.62,0.616,0.591,0.53,0.4,0.46
37_RedBluff_DraftGSP,51,0.8039,0.781,0.707,0.69,0.6,0.64
38_WyandotteCreek_DraftGSP,51,0.6863,0.683,0.638,0.56,0.56,0.56
39_EastSideAquifer_DraftGSP,47,0.5957,0.636,0.55,0.36,0.62,0.46
40_Langley_DraftGSP,47,0.6809,0.765,0.691,0.44,0.92,0.59
41_ForebayAquifer_DraftGSP,48,0.7083,0.767,0.687,0.48,0.85,0.61
42_Monterey_DraftGSP,47,0.7021,0.739,0.727,0.62,0.68,0.65
43_UpperValley_DraftGSP,47,0.7234,0.79,0.709,0.48,0.92,0.63
44_SanAntonioCreekValley_DraftGSP,47,0.766,0.78,0.723,0.67,0.62,0.65
45_SanJacinto_DraftGSP,48,0.8542,0.865,0.71,0.58,0.78,0.67
46_Modesto_DraftGSP,49,0.8163,0.853,0.844,0.77,0.81,0.79
47_Turlock_DraftGSP,48,0.7292,0.759,0.793,0.63,0.9,0.75
48_PleasantValley_DraftGSP,47,0.8298,0.77,0.569,0.57,0.44,0.5
49_WhiteWolf_DraftGSP,49,0.7959,0.799,0.728,0.67,0.67,0.67
50_SanLuisObispoValley_DraftGSP,50,0.66,0.718,0.577,0.4,0.62,0.48
51_UpperSanLuisReyValley_DraftGSP,50,0.94,0.936,0.841,0.78,0.88,0.82
52_SanPasqual_DraftGSP,45,0.8222,0.861,0.702,0.5,0.88,0.64
53_SantaClaraRiverValleyEast_DraftGSP,49,0.7347,0.713,0.604,0.47,0.67,0.55
54_EastBayPlain_DraftGSP,47,0.6383,0.569,0.501,0.43,0.4,0.41
55_SantaMargarita_DraftGSP,50,0.74,0.784,0.757,0.62,0.79,0.7
56_SantaRosaPlain_DraftGSP,50,0.8,0.83,0.825,0.72,0.86,0.78
57_SantaYnezRiverValleyWestern_DraftGSP,47,0.7872,0.772,0.707,0.62,0.71,0.67
58_SantaYnezRiverValleyCentral_DraftGSP,46,0.8043,0.836,0.738,0.59,0.83,0.69
59_SantaYnezRiverValleyEastern_DraftGSP,50,0.74,0.748,0.627,0.53,0.57,0.55
60_ScottRiverValley_DraftGSP,50,0.64,0.685,0.543,0.32,0.7,0.44
61_Ukiah_DraftGSP,51,0.6863,0.719,0.648,0.48,0.73,0.58
62_Yucapia_DraftGSP,47,0.8298,0.833,0.653,0.55,0.67,0.6
63_Temescal_DraftGSP,47,0.7021,0.635,0.492,0.42,0.42,0.42
64_UpperVentura_DraftGSP,50,0.74,0.79,0.746,0.65,0.68,0.67
65_BigValley(LakeCounty)_DraftGSP,50,0.88,0.797,0.803,0.91,0.67,0.77
