GSP_ID,GSP,Human Answers,Rocs_gpt41_base_ftgsps_20260426_094756
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.85
11,Butte,Somewhat,0.15000000000000002
11,Butte,NotApplicable,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,1.0
11,Butte,No,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Somewhat,0.4
11,Butte,No,0.0
11,Butte,No,0.85
11,Butte,No,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,1.0
11,Butte,No,1.0
11,Butte,Yes,1.0
11,Butte,Yes,1.0
11,Butte,Yes,1.0
11,Butte,Yes,1.0
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,Somewhat,0.85
11,Butte,No,0.0
11,Butte,NotApplicable,0.0
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.75
11,Butte,No,0.25
11,Butte,NotApplicable,0.0
11,Butte,No,0.85
11,Butte,Somewhat,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,No,0.0
11,Butte,Yes,0.85
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.0
11,Butte,Somewhat,0.0
11,Butte,Yes,0.15000000000000002
11,Butte,Yes,0.85
11,Butte,Somewhat,0.85
11,Butte,No,0.85
11,Butte,Somewhat,0.15000000000000002
11,Butte,No,0.15000000000000002
11,Butte,Somewhat,0.0
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Somewhat,0.4
55,Santa Margarita,Somewhat,0.25
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Somewhat,0.25
55,Santa Margarita,NotApplicable,0.0
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Somewhat,0.15000000000000002
55,Santa Margarita,Yes,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Yes,0.4
55,Santa Margarita,No,0.0
55,Santa Margarita,No,0.0
55,Santa Margarita,Yes,0.15000000000000002
55,Santa Margarita,No,0.85
55,Santa Margarita,No,0.4
55,Santa Margarita,No,0.4
55,Santa Margarita,No,0.25
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,No,0.15000000000000002
55,Santa Margarita,Yes,0.15000000000000002
55,Santa Margarita,No,0.0
55,Santa Margarita,No,0.0
55,Santa Margarita,Somewhat,1.0
55,Santa Margarita,No,0.0
55,Santa Margarita,Yes,1.0
55,Santa Margarita,Yes,0.15000000000000002
55,Santa Margarita,Somewhat,0.85
55,Santa Margarita,Yes,0.85
55,Santa Margarita,No,0.0
55,Santa Margarita,No,0.85
55,Santa Margarita,No,0.75
55,Santa Margarita,Somewhat,0.0
