GSP_ID,GSP,Human Answers,Rocs_gpt41ft_allgsps_20260513_215833
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,Yes,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,Yes,1.0
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Yes,1.0
2,2_EelRiver_DraftGSP,Yes,1.0
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,Somewhat,1.0
2,2_EelRiver_DraftGSP,Not Applicable,0.15000000000000002
2,2_EelRiver_DraftGSP,Yes,1.0
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Somewhat,1.0
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,No,0.25
2,2_EelRiver_DraftGSP,No,1.0
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,Somewhat,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,No,0.15000000000000002
2,2_EelRiver_DraftGSP,Yes,1.0
2,2_EelRiver_DraftGSP,Somewhat,0.25
2,2_EelRiver_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Somewhat,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,Somewhat,1.0
3,3_Yolo_DraftGSP,Somewhat,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,Somewhat,1.0
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,Somewhat,1.0
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,No,0.25
3,3_Yolo_DraftGSP,No,0.15000000000000002
3,3_Yolo_DraftGSP,Yes,1.0
3,3_Yolo_DraftGSP,Somewhat,0.25
3,3_Yolo_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,No,0.25
5,5_Colusa_DraftGSP,No,1.0
5,5_Colusa_DraftGSP,No,1.0
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,No,1.0
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,No,0.15000000000000002
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,No,0.25
5,5_Colusa_DraftGSP,No,0.15000000000000002
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,No,0.25
5,5_Colusa_DraftGSP,No,0.15000000000000002
5,5_Colusa_DraftGSP,No,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,No,0.25
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Somewhat,0.25
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,Somewhat,1.0
5,5_Colusa_DraftGSP,Yes,0.15000000000000002
5,5_Colusa_DraftGSP,Yes,1.0
5,5_Colusa_DraftGSP,Yes,0.25
5,5_Colusa_DraftGSP,Yes,1.0
