GSP_ID,GSP,Human Answers,Rocs_gpt41ft_newgsps_20260518_215342
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Not Applicable,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Not Applicable,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,No,1.0
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Not Applicable,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,No,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,1.0
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,No,1.0
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,No,1.0
4,4_SouthAmerican_DraftGSP,No,0.15000000000000002
4,4_SouthAmerican_DraftGSP,Yes,1.0
4,4_SouthAmerican_DraftGSP,Yes,0.25
4,4_SouthAmerican_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Not Applicable,0.15000000000000002
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,No,0.25
8,8_LosMolinos_DraftGSP,No,1.0
8,8_LosMolinos_DraftGSP,Yes,0.25
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Yes,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,No,0.25
8,8_LosMolinos_DraftGSP,Not Applicable,0.15000000000000002
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Not Applicable,0.15000000000000002
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,Yes,0.25
8,8_LosMolinos_DraftGSP,Yes,0.15000000000000002
8,8_LosMolinos_DraftGSP,No,0.25
8,8_LosMolinos_DraftGSP,Yes,0.25
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Somewhat,1.0
8,8_LosMolinos_DraftGSP,No,0.25
8,8_LosMolinos_DraftGSP,Somewhat,1.0
8,8_LosMolinos_DraftGSP,Yes,0.25
8,8_LosMolinos_DraftGSP,Yes,1.0
8,8_LosMolinos_DraftGSP,No,0.15000000000000002
8,8_LosMolinos_DraftGSP,Somewhat,0.25
8,8_LosMolinos_DraftGSP,No,0.25
48,48_PleasantValley_DraftGSP,Somewhat,0.25
48,48_PleasantValley_DraftGSP,No,0.25
48,48_PleasantValley_DraftGSP,Somewhat,0.25
48,48_PleasantValley_DraftGSP,Not Applicable,0.25
48,48_PleasantValley_DraftGSP,No,0.25
48,48_PleasantValley_DraftGSP,Yes,1.0
48,48_PleasantValley_DraftGSP,Somewhat,0.25
48,48_PleasantValley_DraftGSP,Somewhat,0.25
48,48_PleasantValley_DraftGSP,Somewhat,0.15000000000000002
48,48_PleasantValley_DraftGSP,Somewhat,1.0
48,48_PleasantValley_DraftGSP,No,0.15000000000000002
48,48_PleasantValley_DraftGSP,No,1.0
48,48_PleasantValley_DraftGSP,No,0.15000000000000002
48,48_PleasantValley_DraftGSP,Not Applicable,0.15000000000000002
