GSP_ID,GSP,Human Answers,Rocs_gpt41ft_trial5_20260426_100420
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.85
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.85
1,BigValley,NotApplicable,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,No,0.85
1,BigValley,Yes,0.85
1,BigValley,Yes,0.85
1,BigValley,Yes,0.85
1,BigValley,No,0.85
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.85
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,Yes,0.85
1,BigValley,Yes,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.85
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,0.85
1,BigValley,Yes,0.85
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.85
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
