GSP_ID,GSP,Human Answers,Rocs_gpt4o_trial5_20260504_094753
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.25
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Yes,1.0
1,BigValley,No,0.25
1,BigValley,Yes,0.0
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.25
1,BigValley,No,0.25
1,BigValley,No,0.0
1,BigValley,No,0.15000000000000002
1,BigValley,NotApplicable,0.25
1,BigValley,Yes,1.0
1,BigValley,No,0.85
1,BigValley,Yes,0.25
1,BigValley,Yes,0.85
1,BigValley,Yes,0.4
1,BigValley,No,0.4
1,BigValley,Somewhat,0.25
1,BigValley,No,0.25
1,BigValley,No,0.0
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,No,0.0
1,BigValley,No,0.0
1,BigValley,No,0.0
1,BigValley,No,0.85
1,BigValley,No,0.4
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.25
1,BigValley,No,0.0
1,BigValley,Somewhat,0.0
1,BigValley,No,0.15000000000000002
1,BigValley,No,0.15000000000000002
1,BigValley,Yes,1.0
1,BigValley,Yes,0.85
1,BigValley,Yes,0.25
1,BigValley,No,0.25
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.25
1,BigValley,No,0.0
1,BigValley,Yes,0.15000000000000002
1,BigValley,Yes,0.25
1,BigValley,Somewhat,0.85
1,BigValley,Somewhat,0.25
1,BigValley,No,0.0
1,BigValley,No,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
1,BigValley,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,0.0
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Somewhat,1.0
14,East Contra Costa,NotApplicable,0.0
14,East Contra Costa,NotApplicable,0.85
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,0.75
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,1.0
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Somewhat,0.85
14,East Contra Costa,Yes,0.75
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.0
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Yes,0.25
14,East Contra Costa,No,0.4
14,East Contra Costa,NotApplicable,0.0
14,East Contra Costa,Somewhat,0.75
14,East Contra Costa,No,0.85
14,East Contra Costa,No,0.4
14,East Contra Costa,NotApplicable,0.0
14,East Contra Costa,No,0.85
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,No,0.25
14,East Contra Costa,No,1.0
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,No,0.75
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.0
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Yes,1.0
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,No,0.0
14,East Contra Costa,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.85
15,Fillmore,Somewhat,0.85
15,Fillmore,Yes,0.85
15,Fillmore,NotApplicable,0.0
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.0
15,Fillmore,No,0.25
15,Fillmore,Yes,0.25
15,Fillmore,Yes,0.85
15,Fillmore,Yes,0.0
15,Fillmore,No,0.0
