Human Answers,Rocs_o3,GSP
No,0.4,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.85,BigValley
No,0.25,BigValley
Yes,0.85,BigValley
No,0.4,BigValley
Yes,0.85,BigValley
No,0.85,BigValley
No,0.85,BigValley
No,0.15000000000000002,BigValley
No,0.6,BigValley
No,0.15000000000000002,BigValley
NotApplicable,0.25,BigValley
Yes,1.0,BigValley
No,0.75,BigValley
Yes,0.85,BigValley
Yes,0.85,BigValley
Yes,0.85,BigValley
No,0.15000000000000002,BigValley
No,0.4,BigValley
No,0.25,BigValley
No,0.0,BigValley
No,0.15000000000000002,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.15000000000000002,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.15000000000000002,BigValley
No,0.15000000000000002,BigValley
No,0.25,BigValley
No,0.4,BigValley
No,0.4,BigValley
No,0.25,BigValley
No,0.15000000000000002,BigValley
Yes,0.85,BigValley
Yes,0.25,BigValley
Yes,0.25,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.4,BigValley
No,0.15000000000000002,BigValley
Yes,0.85,BigValley
Yes,0.75,BigValley
No,0.85,BigValley
No,0.25,BigValley
No,0.15000000000000002,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.25,BigValley
No,0.85,Sonoma
Yes,0.85,Sonoma
No,0.85,Sonoma
NotApplicable,0.25,Sonoma
Yes,0.85,Sonoma
Yes,0.85,Sonoma
No,0.15000000000000002,Sonoma
Yes,0.75,Sonoma
No,1.0,Sonoma
Yes,0.25,Sonoma
No,0.75,Sonoma
Yes,0.85,Sonoma
No,0.25,Sonoma
NotApplicable,0.25,Sonoma
Yes,0.85,Sonoma
No,0.15000000000000002,Sonoma
Yes,0.85,Sonoma
Yes,0.85,Sonoma
No,0.75,Sonoma
Yes,0.85,Sonoma
No,0.75,Sonoma
No,0.25,Sonoma
No,0.85,Sonoma
No,0.85,Sonoma
No,0.75,Sonoma
No,0.15000000000000002,Sonoma
NotApplicable,0.0,Sonoma
No,0.25,Sonoma
No,0.85,Sonoma
No,0.15000000000000002,Sonoma
NotApplicable,1.0,Sonoma
No,0.25,Sonoma
No,0.25,Sonoma
Yes,0.4,Sonoma
Yes,0.85,Sonoma
Yes,0.85,Sonoma
Yes,0.85,Sonoma
No,0.25,Sonoma
Yes,0.6,Sonoma
No,0.15000000000000002,Sonoma
No,0.25,Sonoma
No,0.25,Sonoma
No,0.15000000000000002,Sonoma
No,0.25,Sonoma
Yes,0.85,Sonoma
Yes,1.0,Sonoma
Yes,0.25,Sonoma
Yes,0.85,Sonoma
Yes,0.85,Sonoma
Yes,0.25,Sonoma
No,0.15000000000000002,Sonoma
No,0.25,East Contra Costa
No,0.85,East Contra Costa
No,0.25,East Contra Costa
NotApplicable,0.75,East Contra Costa
No,0.25,East Contra Costa
Yes,0.85,East Contra Costa
Yes,0.85,East Contra Costa
Yes,0.85,East Contra Costa
No,0.25,East Contra Costa
NotApplicable,0.25,East Contra Costa
NotApplicable,0.25,East Contra Costa
NotApplicable,0.25,East Contra Costa
Yes,0.85,East Contra Costa
No,0.25,East Contra Costa
Yes,0.85,East Contra Costa
No,1.0,East Contra Costa
Yes,0.85,East Contra Costa
Yes,0.85,East Contra Costa
No,1.0,East Contra Costa
Yes,0.25,East Contra Costa
No,0.85,East Contra Costa
No,0.4,East Contra Costa
Yes,0.85,East Contra Costa
Yes,0.85,East Contra Costa
Yes,0.85,East Contra Costa
No,0.25,East Contra Costa
NotApplicable,0.15000000000000002,East Contra Costa
No,0.25,East Contra Costa
No,0.85,East Contra Costa
No,0.15000000000000002,East Contra Costa
NotApplicable,0.25,East Contra Costa
No,0.75,East Contra Costa
No,0.25,East Contra Costa
No,0.25,East Contra Costa
Yes,0.85,East Contra Costa
No,0.15000000000000002,East Contra Costa
No,0.25,East Contra Costa
No,0.85,East Contra Costa
No,0.25,East Contra Costa
No,0.85,East Contra Costa
No,0.15000000000000002,East Contra Costa
No,0.85,East Contra Costa
No,0.15000000000000002,East Contra Costa
No,0.15000000000000002,East Contra Costa
No,0.85,East Contra Costa
Yes,1.0,East Contra Costa
Yes,0.15000000000000002,East Contra Costa
Yes,0.85,East Contra Costa
No,0.85,East Contra Costa
No,0.25,East Contra Costa
No,0.15000000000000002,East Contra Costa
No,0.85,Fillmore
No,0.85,Fillmore
Yes,0.85,Fillmore
NotApplicable,0.25,Fillmore
No,0.85,Fillmore
Yes,0.85,Fillmore
No,0.15000000000000002,Fillmore
Yes,0.4,Fillmore
Yes,1.0,Fillmore
Yes,0.25,Fillmore
No,0.85,Fillmore
Yes,0.25,Fillmore
Yes,0.25,Fillmore
NotApplicable,0.25,Fillmore
Yes,1.0,Fillmore
No,0.15000000000000002,Fillmore
Yes,0.85,Fillmore
Yes,1.0,Fillmore
Yes,0.85,Fillmore
Yes,0.85,Fillmore
No,0.25,Fillmore
Yes,0.25,Fillmore
No,0.25,Fillmore
No,0.75,Fillmore
No,0.25,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
No,0.25,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.15000000000000002,Fillmore
No,0.4,Fillmore
No,0.25,Fillmore
Yes,0.85,Fillmore
No,0.25,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.25,Fillmore
No,0.15000000000000002,Fillmore
No,0.15000000000000002,Fillmore
Yes,0.75,Fillmore
No,0.15000000000000002,Fillmore
No,0.15000000000000002,Fillmore
Yes,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
Yes,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
Yes,1.0,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Yes,0.85,San Luis Obispo
Yes,1.0,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
No,0.85,San Luis Obispo
NotApplicable,0.85,San Luis Obispo
Yes,0.85,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Yes,1.0,San Luis Obispo
Yes,1.0,San Luis Obispo
Yes,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.85,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.85,San Luis Obispo
No,0.85,San Luis Obispo
Yes,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
No,0.85,San Luis Obispo
No,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.4,San Luis Obispo
Yes,0.75,San Luis Obispo
No,0.25,San Luis Obispo
Yes,0.75,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
Yes,0.25,San Luis Obispo
No,0.85,San Luis Obispo
No,0.85,San Luis Obispo
No,0.85,San Luis Obispo
No,0.15000000000000002,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
No,0.25,San Luis Obispo
