GSP_ID,GSP,Human Answers,Rocs_opus47_vision_eastcontracosta_20260423_221713
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Yes,0.5
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,NotApplicable,0.25
14,East Contra Costa,NotApplicable,0.4
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,0.4
14,East Contra Costa,Yes,0.85
14,East Contra Costa,No,0.6
14,East Contra Costa,Yes,0.75
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.6
14,East Contra Costa,Yes,0.4
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Yes,0.4
14,East Contra Costa,Yes,0.25
14,East Contra Costa,No,0.25
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,0.25
14,East Contra Costa,No,0.4
14,East Contra Costa,NotApplicable,0.15000000000000002
14,East Contra Costa,No,0.25
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,Somewhat,0.4
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,0.25
14,East Contra Costa,No,0.15000000000000002
14,East Contra Costa,Somewhat,0.25
14,East Contra Costa,No,0.75
14,East Contra Costa,No,0.25
14,East Contra Costa,Somewhat,0.75
14,East Contra Costa,No,0.4
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Somewhat,0.15000000000000002
14,East Contra Costa,Yes,0.15000000000000002
14,East Contra Costa,Yes,0.25
14,East Contra Costa,Yes,0.85
14,East Contra Costa,Somewhat,0.85
14,East Contra Costa,No,0.4
14,East Contra Costa,Somewhat,0.15000000000000002
