GSP_ID,GSP,Human Answers,Rocs_opus47_vision_fillmore_20260423_221713
15,Fillmore,Somewhat,0.4
15,Fillmore,Somewhat,0.75
15,Fillmore,Yes,0.4
15,Fillmore,NotApplicable,0.25
15,Fillmore,Somewhat,0.25
15,Fillmore,Yes,1.0
15,Fillmore,No,0.15000000000000002
15,Fillmore,Yes,0.4
15,Fillmore,Yes,0.25
15,Fillmore,Yes,0.25
15,Fillmore,No,0.75
15,Fillmore,Yes,0.4
15,Fillmore,Yes,0.25
15,Fillmore,NotApplicable,0.15000000000000002
15,Fillmore,Yes,1.0
15,Fillmore,No,0.25
15,Fillmore,Yes,0.4
15,Fillmore,Yes,0.4
15,Fillmore,Yes,0.4
15,Fillmore,Yes,0.4
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Yes,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.25
15,Fillmore,No,0.4
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.25
15,Fillmore,No,0.25
15,Fillmore,No,0.25
15,Fillmore,No,0.15000000000000002
15,Fillmore,No,0.4
15,Fillmore,Somewhat,0.4
15,Fillmore,Somewhat,0.4
15,Fillmore,Yes,0.85
15,Fillmore,Somewhat,0.25
15,Fillmore,No,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.25
15,Fillmore,No,0.25
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.4
15,Fillmore,No,0.25
15,Fillmore,No,0.25
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,No,0.25
15,Fillmore,No,0.4
15,Fillmore,Yes,0.4
15,Fillmore,Somewhat,0.15000000000000002
15,Fillmore,Somewhat,0.15000000000000002
