GSP_ID,GSP,Human Answers,Rocs_opus47_vision_sonoma_20260423_171223
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.4
30,Sonoma,Somewhat,0.4
30,Sonoma,NotApplicable,0.4
30,Sonoma,Yes,0.25
30,Sonoma,Yes,0.85
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.4
30,Sonoma,Somewhat,0.25
30,Sonoma,Yes,0.4
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.6
30,Sonoma,No,0.4
30,Sonoma,NotApplicable,0.4
30,Sonoma,Yes,0.85
30,Sonoma,No,0.15000000000000002
30,Sonoma,Yes,0.4
30,Sonoma,Yes,0.4
30,Sonoma,Somewhat,0.75
30,Sonoma,Yes,0.75
30,Sonoma,Somewhat,0.25
30,Sonoma,Somewhat,0.25
30,Sonoma,Somewhat,0.85
30,Sonoma,No,0.85
30,Sonoma,Somewhat,0.25
30,Sonoma,No,0.25
30,Sonoma,NotApplicable,0.15000000000000002
30,Sonoma,Somewhat,0.25
30,Sonoma,No,0.15000000000000002
30,Sonoma,No,0.25
30,Sonoma,NotApplicable,0.25
30,Sonoma,No,0.4
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.4
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,No,0.25
30,Sonoma,Yes,0.25
30,Sonoma,No,0.4
30,Sonoma,No,0.4
30,Sonoma,Somewhat,0.15000000000000002
30,Sonoma,No,0.15000000000000002
30,Sonoma,Somewhat,0.4
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.15000000000000002
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.85
30,Sonoma,Yes,0.4
30,Sonoma,Somewhat,0.15000000000000002
